"","team","conf","adj_oe","adj_de","barthag","efg_o","efg_d","tor","tor_d","orb","drb","ftr","ftr_d","x2p_o","x2p_d","x3p_o","x3p_d","adj_t","wab","seed"
"1","Houston","B12",119.215,85.51,0.97861,49.7228,44.02,13.79,24.73,36.912,30.2229,29.926,39.0307,48.426,43.43,34.7138,30.013,63.3349,10.63,1
"2","Connecticut","BE",127.11,93.611,0.97122,57.16,45.13,14.95,16.2232,36.514,26.883,33.3161,32.5173,58.56,43.76,36.73,31.961,64.6325,11.31,1
"3","Purdue","B10",126.22,94.718,0.96443,56.013,47.747,16.5144,14.0336,37.48,24.723,42.88,23.01,53.269,48.176,40.82,31.442,67.6168,11.02,1
"4","Iowa St.","B12",113.65,86.52,0.95834,51.9107,47.128,15.782,25.72,31.694,29.4197,36.191,35.2249,51.7118,46.945,34.9122,31.548,67.617,6.94,2
"5","Auburn","SEC",120.71,92.16,0.95735,54.14,43.41,14.95,18.297,32.959,30.3233,38.248,41.0331,54.929,42.81,35.2109,29.89,69.858,5.59,4
"6","Arizona","P12",121.57,93.612,0.95276,55.024,48.779,16.1108,18.1104,36.316,23.15,36.781,25.721,54.635,47.867,37.123,33.4147,72.016,4.911,2
"7","Tennessee","SEC",115.633,91.23,0.93817,51.513,45.46,14.638,18.962,32.474,28.6155,34.3132,35.826,51.6124,44.39,34.2158,31.442,69.278,5.88,2
"8","Marquette","BE",118.919,94.617,0.93288,55.122,49.713,14.327,21.12,26.0278,30.8267,25.6344,28.268,56.016,49.2122,35.87,33.6155,69.186,6.56,2
"9","North Carolina","ACC",116.826,93.28,0.93049,51.3142,46.416,14.432,14.9307,32.864,23.59,36.877,28.369,50.3174,46.023,35.496,31.442,70.446,6.65,1
"10","Creighton","BE",120.711,96.527,0.92911,57.53,46.416,15.366,11.2362,25.928,24.622,24.5353,16.21,60.63,45.72,36.153,32.278,66.9213,4.413,3
"11","Duke","ACC",120.89,96.83,0.927211,55.22,49.087,14.327,16.9176,31.886,25.956,33.8148,27.654,54.438,49.1117,37.713,32.696,66.9217,3.319,4
"12","Illinois","B10",125.33,101.197,0.922112,53.846,48.052,15.159,12.336,36.217,26.159,37.858,27.14,54.732,46.635,34.9122,34.3211,69.956,6.07,3
"13","Saint Mary's","WCC",115.831,93.713,0.919713,53.165,45.13,16.0102,16.7191,39.03,22.42,28.3303,32.2166,53.074,43.65,35.59,32.485,62.1358,1.436,5
"14","Gonzaga","WCC",121.38,98.65,0.915114,56.78,47.334,14.016,16.5207,33.351,27.299,31.522,25.823,58.37,45.113,35.59,34.0183,69.185,2.526,5
"15","Alabama","SEC",125.24,102.1122,0.912415,56.311,49.9143,16.0102,15.6277,34.926,29.9218,35.2111,39.6319,57.69,51.1214,36.533,31.961,72.513,3.415,4
"16","Kansas","B12",113.552,92.77,0.910816,53.453,47.642,16.4134,16.8186,25.3291,26.468,32.8178,28.577,54.83,45.315,33.321,33.8165,68.993,4.314,4
"17","Baylor","B12",122.26,99.978,0.910217,55.616,51.3221,17.7217,17.1161,35.123,27.195,40.52,30.9131,53.456,51.9244,39.44,33.515,65.7274,5.11,3
"18","BYU","B12",120.612,99.059,0.906518,55.122,48.052,15.263,16.0249,32.864,24.723,25.3347,32.1163,58.08,48.278,34.8129,31.857,69.09,2.921,6
"19","Wisconsin","B10",119.813,98.855,0.901719,52.482,52.2271,14.638,16.9176,30.5118,24.518,33.5156,33.2198,52.685,50.4178,34.8129,37.1343,65.0312,3.318,5
"20","Texas","B12",119.018,98.342,0.90062,53.749,49.087,16.6153,18.674,30.5118,30.0221,30.4248,35.0244,53.456,47.453,36.153,34.8243,67.2195,1.242,7
"21","Nebraska","B10",115.732,95.524,0.900222,53.261,46.315,15.996,16.4214,27.8218,30.0221,32.4193,27.757,52.878,45.214,35.87,31.961,68.7105,2.427,8
"22","Michigan St.","B10",112.76,93.39,0.898323,51.513,48.052,14.742,18.771,29.9137,28.7163,29.926,32.6176,50.5165,47.149,35.965,32.8112,65.3303,0.2155,9
"23","Florida","SEC",119.614,99.368,0.895024,51.513,48.882,15.891,14.5317,37.57,28.9171,38.643,34.2222,51.7118,49.0111,34.2158,32.278,71.62,3.02,7
