team,r64_prob,r32_prob,s16_prob,e8_prob,champion_prob
Duke,0.9394,0.7862,0.6194,0.4544,0.2114
Houston,0.9156,0.754,0.5132,0.3578,0.1182
Michigan,0.8442,0.719,0.5346,0.3474,0.1172
Arizona,0.9382,0.7548,0.574,0.3568,0.1008
Purdue,0.929,0.7816,0.5174,0.3028,0.078
Iowa State,0.9302,0.7114,0.445,0.249,0.0706
Florida,0.9322,0.631,0.401,0.1966,0.0422
Illinois,0.9174,0.6972,0.3356,0.1864,0.04
Michigan State,0.9168,0.6238,0.3782,0.1614,0.0372
UConn,0.926,0.6548,0.3526,0.149,0.0326
Texas Tech,0.8954,0.596,0.2572,0.115,0.0218
Tennessee,0.9134,0.5502,0.2726,0.1266,0.021
Gonzaga,0.916,0.5834,0.285,0.1386,0.0148
Kansas,0.9012,0.5588,0.1916,0.0846,0.0138
Nebraska,0.9132,0.5904,0.2788,0.0972,0.0114
Virginia,0.9114,0.4274,0.1706,0.0616,0.008
Louisville,0.8192,0.3344,0.149,0.051,0.0078
St. John's (NY),0.7332,0.3502,0.0996,0.0388,0.0066
Iowa,0.5574,0.2104,0.107,0.0376,0.0062
Vanderbilt,0.8348,0.3684,0.1416,0.0468,0.0062
Alabama,0.7492,0.3428,0.114,0.0424,0.0048
Arkansas,0.8096,0.4518,0.1546,0.0508,0.0044
BYU,0.6166,0.2608,0.0848,0.0318,0.0036
Wisconsin,0.8872,0.4884,0.1506,0.0474,0.0034
Clemson,0.4426,0.1534,0.0666,0.0214,0.0024
Kentucky,0.6758,0.2198,0.093,0.0326,0.0024
UCLA,0.6828,0.2626,0.0944,0.0268,0.0022
UNC,0.7348,0.2452,0.074,0.0266,0.002
Villanova,0.5498,0.139,0.0686,0.0244,0.002
Ohio State,0.6348,0.1464,0.0568,0.0194,0.0014
Saint Mary's,0.6198,0.149,0.0498,0.0224,0.0014
Miami (FL),0.6082,0.14,0.0572,0.02,0.001
Saint Louis,0.4494,0.0708,0.0202,0.0044,8e-4
Utah State,0.4502,0.1018,0.046,0.014,6e-4
Georgia,0.5506,0.1204,0.0374,0.009,4e-4
NC State,0.2048,0.0754,0.0158,0.005,4e-4
Southern Methodist,0.1472,0.0886,0.0292,0.0074,4e-4
Texas,0.1786,0.0728,0.0168,0.0036,4e-4
Northern Iowa,0.2668,0.0782,0.0136,0.004,2e-4
Akron,0.1046,0.027,0.0034,4e-4,0
California Baptist,0.0988,0.0128,6e-4,2e-4,0
Furman,0.074,0.0054,4e-4,0,0
Hawaii,0.1904,0.0398,0.004,4e-4,0
High Point,0.1128,0.02,0.0018,4e-4,0
Hofstra,0.2508,0.0342,0.004,4e-4,0
Howard,0.0114,0.0012,0,0,0
Idaho,0.0844,0.008,0.0012,0,0
Kennesaw State,0.084,0.0076,0.001,0,0
Lehigh,0.0458,0.0036,6e-4,0,0
Long Island University,0.0618,0.0044,4e-4,0,0
McNeese,0.1652,0.0312,0.0032,2e-4,0
Miami (OH),0.0086,0.0012,0,0,0
Missouri,0.3918,0.0674,0.0208,0.0038,0
North Dakota State,0.0832,0.0104,0.001,2e-4,0
Penn,0.0826,0.0096,8e-4,0,0
Prairie View A&M,0.022,0.0016,0,0,0
Queens (NC),0.071,0.011,0.0012,2e-4,0
Santa Clara,0.3242,0.0648,0.017,0.0036,0
Siena,0.0606,0.0056,2e-4,0,0
South Florida,0.1808,0.0314,0.0056,2e-4,0
Tennessee State,0.0698,0.004,2e-4,0,0
Texas A&M,0.3802,0.089,0.0184,0.005,0
Texas Christian,0.3652,0.0618,0.0182,0.005,0
Troy,0.0868,0.01,0.0012,0,0
UCF,0.3172,0.0772,0.0188,0.005,0
UMBC,0.0752,0.0102,0.0012,2e-4,0
VCU,0.2652,0.048,0.007,0.002,0
Wright State,0.0886,0.011,4e-4,0,0
