team,r64_prob,r32_prob,s16_prob,e8_prob,champion_prob
UCLA,0.9965,0.972,0.9523,0.7592,0.3974
UConn,1,0.9917,0.9656,0.9219,0.3327
South Carolina,1,0.9766,0.9248,0.8503,0.1669
Texas,1,0.989,0.9271,0.7945,0.0763
LSU,0.9995,0.9363,0.7634,0.2148,0.0172
Michigan,1,0.9581,0.6414,0.1575,0.0075
Iowa,0.9723,0.9074,0.5371,0.0652,4e-4
Louisville,0.9975,0.8107,0.3332,0.0265,3e-4
Vanderbilt,0.9999,0.8341,0.5247,0.0294,3e-4
Kentucky,0.9021,0.6448,0.0439,0.0147,2e-4
Minnesota,0.9953,0.67490000000000006,0.0317,0.0091,2e-4
Texas Christian,0.9925,0.7921,0.411,0.0426,2e-4
Duke,0.9649,0.6576,0.1945,0.0145,1e-4
Michigan State,0.9863,0.6075,0.0285,0.0183,1e-4
Ohio State,1,0.7835,0.389,0.0329,1e-4
Oklahoma,0.9952,0.3919,0.04,0.0194,1e-4
Alabama,0.8646,0.168,0.0109,4e-4,0
Arizona State,0.1484,0.0165,0.0017,0,0
Baylor,0.2205,0.0167,0.0016,0,0
California Baptist,0.0035,3e-4,0,0,0
Clemson,0.2061,0,0,0,0
College of Charleston,0.0351,0.0013,2e-4,0,0
Colorado,0.3129,0.0471,0.0067,0,0
Colorado State,0.0137,5e-4,0,0,0
FDU,0.0277,0.001,1e-4,0,0
Fairfield,0.1095,0.0092,6e-4,0,0
Georgia,0.6927,0.0626,0.0081,2e-4,0
Gonzaga,0.0503,0.0018,0,0,0
Green Bay,0.0047,0,0,0,0
High Point,1e-4,0,0,0,0
Idaho,0.0048,1e-4,0,0,0
Illinois,0.6871,0.1188,0.0177,3e-4,0
Iowa State,0.6206,0.0071,0.0023,3e-4,0
Jacksonville,5e-4,0,0,0,0
James Madison,0.0979,0.0077,0,0,0
Maryland,0.9563,0.6942,0.0288,0.0131,0
Miami (OH),0.0137,3e-4,0,0,0
Murray State,0.0437,0.0064,0,0,0
NC State,0.5488,0.0205,0.004,3e-4,0
Nebraska,0.7456,0.3214,0.0268,3e-4,0
Notre Dame,0.8905,0.2073,0.0613,0.0017,0
Oklahoma State,0.9015,0.0271,0.01,0.0011,0
Ole Miss,0.9497,0.3233,0.006,7e-4,0
Oregon,0.8384,0.011,0.0016,3e-4,0
Princeton,0.0985,6e-4,0,0,0
Rhode Island,0.1354,0.0213,0.0021,0,0
Richmond,0.0339,0.003,3e-4,0,0
South Dakota State,0.1062,0.0046,3e-4,0,0
Syracuse,0.3794,0.0012,0,0,0
Tennessee,0.4512,0.0214,0.0084,3e-4,0
Texas Tech,0.6902,0.0501,0.0115,3e-4,0
UC San Diego,0.0075,1e-4,1e-4,0,0
UNC,0.9075,0.2971,0.0033,4e-4,0
USC,0.7939,0.0234,0.0067,0.0021,0
Vermont,0.0025,0,0,0,0
Villanova,0.3098,0.0136,0.0017,0,0
Virginia,0.1589,0.0125,0.0011,0,0
Virginia Tech,0.1616,0,0,0,0
Washington,0.8938,0.2032,0.0405,0.0019,0
West Virginia,0.9863,0.3472,0.0274,0.0055,0
Western Illinois,0.0925,0.0023,0,0,0
