"","seed1","team1","seed2","team2","score1","score2","winner","region","upset","year","Conf_team1","W_team1","L_team1","PPG_team1","PPG_Allowed_team1","Pace_team1","MOV_team1","SOS_team1","OSRS_team1","DSRS_team1","Adj_ORtg_team1","Adj_DRtg_team1","Conf_team2","W_team2","L_team2","PPG_team2","PPG_Allowed_team2","Pace_team2","MOV_team2","SOS_team2","OSRS_team2","DSRS_team2","Adj_ORtg_team2","Adj_DRtg_team2"
"1",1,"South Carolina",16,"Presbyterian",91,39,"South Carolina","region1","no",2024,"SEC",38,0,85.4,56.6,74.1,28.89,16.37,26.76,18.51,123.17,63.87,"Big South",21,15,57.6,58.9,67.7,-1.36,-11.13,-14.2,-1.41,77.84,99.16
"2",8,"UNC",9,"Michigan State",59,56,"UNC","region1","no",2024,"ACC",20,13,67.8,62.5,70.4,5.27,15.69,9.52,11.44,104.49,76.16,"Big Ten",22,9,82.8,67,74,15.77,10.91,20.65,6.04,116.3,81.28
"3",5,"Oklahoma",12,"Florida Gulf Coast",73,70,"Oklahoma","region1","no",2024,"Big 12",23,10,76.5,69.1,77.3,7.36,15.85,18.36,4.85,107.33,76.94,"A-Sun",29,5,74.9,55,68.6,19.85,-2.61,6.19,7.9,105.72,84.8
"4",4,"Indiana",13,"Fairfield",89,56,"Indiana","region1","no",2024,"Big Ten",26,6,79.5,64.4,71.4,15.13,14.38,18.03,11.47,117.01,77.45,"MAAC",31,2,72.5,55.2,70.2,17.3,-10.1,2.88,2.14,95.6,89.09
"5",6,"Nebraska",11,"Texas A&M",61,59,"Nebraska","region1","no",2024,"Big Ten",23,12,72.4,64.2,70.5,8.2,14.64,12.43,10.41,108.65,77.42,"SEC",19,13,68.4,58.7,71,9.66,11.6,7.72,13.54,102.95,74.28
"6",3,"Oregon State",14,"Eastern Washington",73,51,"Oregon State","region1","no",2024,"Pac-12",27,8,70.9,59.8,67.7,11.17,16.76,13.53,14.41,112.39,74.17,"Big Sky",29,6,68.3,56.1,68.6,12.2,-3.31,1.61,5.78,94.35,83.67
"7",7,"Ole Miss",10,"Marquette",67,55,"Ole Miss","region1","no",2024,"SEC",24,9,68.5,59.4,70.3,9.12,12.19,7.79,13.52,103.18,74.43,"Big East",23,9,69.6,59.5,70.1,10.13,8.85,9.03,9.95,103.6,78.28
"8",2,"Notre Dame",15,"Kent State",81,67,"Notre Dame","region1","no",2024,"ACC",28,7,78.6,61.1,74.4,17.51,14.74,19.24,13.02,110.98,68.75,"MAC",21,11,71.8,62.8,70.7,9,-0.65,4.88,-0.66,97.95,91.91
"9",1,"South Carolina",8,"UNC",88,41,"South Carolina","region1","no",2024,"SEC",38,0,85.4,56.6,74.1,28.89,16.37,26.76,18.51,123.17,63.87,"ACC",20,13,67.8,62.5,70.4,5.27,15.69,9.52,11.44,104.49,76.16
"10",5,"Oklahoma",4,"Indiana",68,75,"Indiana","region1","no",2024,"Big 12",23,10,76.5,69.1,77.3,7.36,15.85,18.36,4.85,107.33,76.94,"Big Ten",26,6,79.5,64.4,71.4,15.13,14.38,18.03,11.47,117.01,77.45
