"","seed1","team1","seed2","team2","score1","score2","winner","region","year"
"1",1,"South Carolina",16,"Presbyterian",91,39,"South Carolina","region1",2024
"2",8,"UNC",9,"Michigan State",59,56,"UNC","region1",2024
"3",5,"Oklahoma",12,"Florida Gulf Coast",73,70,"Oklahoma","region1",2024
"4",4,"Indiana",13,"Fairfield",89,56,"Indiana","region1",2024
"5",6,"Nebraska",11,"Texas A&M",61,59,"Nebraska","region1",2024
"6",3,"Oregon State",14,"Eastern Washington",73,51,"Oregon State","region1",2024
"7",7,"Ole Miss",10,"Marquette",67,55,"Ole Miss","region1",2024
"8",2,"Notre Dame",15,"Kent State",81,67,"Notre Dame","region1",2024
"9",1,"South Carolina",8,"UNC",88,41,"South Carolina","region1",2024
"10",5,"Oklahoma",4,"Indiana",68,75,"Indiana","region1",2024
"11",6,"Nebraska",3,"Oregon State",51,61,"Oregon State","region1",2024
"12",7,"Ole Miss",2,"Notre Dame",56,71,"Notre Dame","region1",2024
"13",1,"South Carolina",4,"Indiana",79,75,"South Carolina","region1",2024
"14",3,"Oregon State",2,"Notre Dame",70,65,"Oregon State","region1",2024
"15",1,"South Carolina",3,"Oregon State",70,58,"South Carolina","region1",2024
"16",1,"Iowa",16,"Holy Cross",91,65,"Iowa","region2",2024
"17",8,"West Virginia",9,"Princeton",63,53,"West Virginia","region2",2024
"18",5,"Colorado",12,"Drake",86,72,"Colorado","region2",2024
"19",4,"Kansas State",13,"Portland",78,65,"Kansas State","region2",2024
"20",6,"Louisville",11,"Middle Tennessee",69,71,"Middle Tennessee","region2",2024
"21",3,"LSU",14,"Rice",70,60,"LSU","region2",2024
"22",7,"Creighton",10,"UNLV",87,73,"Creighton","region2",2024
"23",2,"UCLA",15,"California Baptist",84,55,"UCLA","region2",2024
"24",1,"Iowa",8,"West Virginia",64,54,"Iowa","region2",2024
"25",5,"Colorado",4,"Kansas State",63,50,"Colorado","region2",2024
"26",11,"Middle Tennessee",3,"LSU",56,83,"LSU","region2",2024
"27",7,"Creighton",2,"UCLA",63,67,"UCLA","region2",2024
"28",1,"Iowa",5,"Colorado",89,68,"Iowa","region2",2024
"29",3,"LSU",2,"UCLA",78,69,"LSU","region2",2024
"30",1,"Iowa",3,"LSU",94,87,"Iowa","region2",2024
"31",1,"USC",16,"Texas A&M-Corpus Christi",87,55,"USC","region3",2024
"32",8,"Kansas",9,"Michigan",81,72,"Kansas","region3",2024
"33",5,"Baylor",12,"Vanderbilt",80,63,"Baylor","region3",2024
"34",4,"Virginia Tech",13,"Marshall",92,49,"Virginia Tech","region3",2024
"35",6,"Syracuse",11,"Arizona",74,69,"Syracuse","region3",2024
"36",3,"UConn",14,"Jackson State",86,64,"UConn","region3",2024
"37",7,"Duke",10,"Richmond",72,61,"Duke","region3",2024
"38",2,"Ohio State",15,"Maine",80,57,"Ohio State","region3",2024
"39",1,"USC",8,"Kansas",73,55,"USC","region3",2024
"40",5,"Baylor",4,"Virginia Tech",75,72,"Baylor","region3",2024
"41",6,"Syracuse",3,"UConn",64,72,"UConn","region3",2024
"42",7,"Duke",2,"Ohio State",75,63,"Duke","region3",2024
"43",1,"USC",5,"Baylor",74,70,"USC","region3",2024
"44",3,"UConn",7,"Duke",53,45,"UConn","region3",2024
"45",1,"USC",3,"UConn",73,80,"UConn","region3",2024
"46",1,"Texas",16,"Drexel",82,42,"Texas","region4",2024
"47",8,"Alabama",9,"Florida State",82,74,"Alabama","region4",2024
"48",5,"Utah",12,"South Dakota State",68,54,"Utah","region4",2024
"49",4,"Gonzaga",13,"UC-Irvine",75,56,"Gonzaga","region4",2024
"50",6,"Tennessee",11,"Green Bay",92,63,"Tennessee","region4",2024
"51",3,"NC State",14,"Chattanooga",64,45,"NC State","region4",2024
"52",7,"Iowa State",10,"Maryland",93,86,"Iowa State","region4",2024
"53",2,"Stanford",15,"Norfolk State",79,50,"Stanford","region4",2024
