"","seed1","team1","seed2","team2","score1","score2","winner","region","year"
"1",1,"Duke",16,"Mount St. Mary's",93,49,"Duke","region1",2025
"2",8,"Mississippi State",9,"Baylor",72,75,"Baylor","region1",2025
"3",5,"Oregon",12,"Liberty",81,52,"Oregon","region1",2025
"4",4,"Arizona",13,"Akron",93,65,"Arizona","region1",2025
"5",6,"BYU",11,"VCU",80,71,"BYU","region1",2025
"6",3,"Wisconsin",14,"Montana",85,66,"Wisconsin","region1",2025
"7",7,"Saint Mary's",10,"Vanderbilt",59,56,"Saint Mary's","region1",2025
"8",2,"Alabama",15,"Robert Morris",90,81,"Alabama","region1",2025
"9",1,"Duke",9,"Baylor",89,66,"Duke","region1",2025
"10",5,"Oregon",4,"Arizona",83,87,"Arizona","region1",2025
"11",6,"BYU",3,"Wisconsin",91,89,"BYU","region1",2025
"12",7,"Saint Mary's",2,"Alabama",66,80,"Alabama","region1",2025
"13",1,"Duke",4,"Arizona",100,93,"Duke","region1",2025
"14",6,"BYU",2,"Alabama",88,113,"Alabama","region1",2025
"15",1,"Duke",2,"Alabama",85,65,"Duke","region1",2025
"16",1,"Houston",16,"SIU-Edwardsville",78,40,"Houston","region2",2025
"17",8,"Gonzaga",9,"Georgia",89,68,"Gonzaga","region2",2025
"18",5,"Clemson",12,"McNeese State",67,69,"McNeese State","region2",2025
"19",4,"Purdue",13,"High Point",75,63,"Purdue","region2",2025
"20",6,"Illinois",11,"Xavier",86,73,"Illinois","region2",2025
"21",3,"Kentucky",14,"Troy",76,57,"Kentucky","region2",2025
"22",7,"UCLA",10,"Utah State",72,47,"UCLA","region2",2025
"23",2,"Tennessee",15,"Wofford",77,62,"Tennessee","region2",2025
"24",1,"Houston",8,"Gonzaga",81,76,"Houston","region2",2025
"25",12,"McNeese State",4,"Purdue",62,76,"Purdue","region2",2025
"26",6,"Illinois",3,"Kentucky",75,84,"Kentucky","region2",2025
"27",7,"UCLA",2,"Tennessee",58,67,"Tennessee","region2",2025
"28",1,"Houston",4,"Purdue",62,60,"Houston","region2",2025
"29",3,"Kentucky",2,"Tennessee",65,78,"Tennessee","region2",2025
"30",1,"Houston",2,"Tennessee",69,50,"Houston","region2",2025
"31",1,"Auburn",16,"Alabama State",83,63,"Auburn","region3",2025
"32",8,"Louisville",9,"Creighton",75,89,"Creighton","region3",2025
"33",5,"Michigan",12,"UC-San Diego",68,65,"Michigan","region3",2025
"34",4,"Texas A&M",13,"Yale",80,71,"Texas A&M","region3",2025
"35",6,"Ole Miss",11,"UNC",71,64,"Ole Miss","region3",2025
"36",3,"Iowa State",14,"Lipscomb",82,55,"Iowa State","region3",2025
"37",7,"Marquette",10,"New Mexico",66,75,"New Mexico","region3",2025
"38",2,"Michigan State",15,"Bryant",87,62,"Michigan State","region3",2025
"39",1,"Auburn",9,"Creighton",82,70,"Auburn","region3",2025
"40",5,"Michigan",4,"Texas A&M",91,79,"Michigan","region3",2025
"41",6,"Ole Miss",3,"Iowa State",91,78,"Ole Miss","region3",2025
"42",10,"New Mexico",2,"Michigan State",63,71,"Michigan State","region3",2025
"43",1,"Auburn",5,"Michigan",78,65,"Auburn","region3",2025
"44",6,"Ole Miss",2,"Michigan State",70,73,"Michigan State","region3",2025
"45",1,"Auburn",2,"Michigan State",70,64,"Auburn","region3",2025
"46",1,"Florida",16,"Norfolk State",95,69,"Florida","region4",2025
"47",8,"UConn",9,"Oklahoma",67,59,"UConn","region4",2025
"48",5,"Memphis",12,"Colorado State",70,78,"Colorado State","region4",2025
"49",4,"Maryland",13,"Grand Canyon",81,49,"Maryland","region4",2025
"50",6,"Missouri",11,"Drake",57,67,"Drake","region4",2025
"51",3,"Texas Tech",14,"UNC Wilmington",82,72,"Texas Tech","region4",2025
"52",7,"Kansas",10,"Arkansas",72,79,"Arkansas","region4",2025
"53",2,"St. John's (NY)",15,"Omaha",83,53,"St. John's (NY)","region4",2025
"54",1,"Florida",8,"UConn",77,75,"Florida","region4",2025
"55",12,"Colorado State",4,"Maryland",71,72,"Maryland","region4",2025
"56",11,"Drake",3,"Texas Tech",64,77,"Texas Tech","region4",2025
"57",10,"Arkansas",2,"St. John's (NY)",75,66,"Arkansas","region4",2025
"58",1,"Florida",4,"Maryland",87,71,"Florida","region4",2025
"59",3,"Texas Tech",10,"Arkansas",85,83,"Texas Tech","region4",2025
"60",1,"Florida",3,"Texas Tech",84,79,"Florida","region4",2025
"61",1,"Duke",1,"Houston",67,70,"Houston","final four",2025
"62",1,"Auburn",1,"Florida",73,79,"Florida","final four",2025
"63",1,"Houston",1,"Florida",63,65,"Florida","championship",2025
"64",1,"UConn",16,"Stetson",91,52,"UConn","region1",2024
"65",8,"Florida Atlantic",9,"Northwestern",65,77,"Northwestern","region1",2024
"66",5,"San Diego State",12,"UAB",69,65,"San Diego State","region1",2024
"67",4,"Auburn",13,"Yale",76,78,"Yale","region1",2024
"68",6,"BYU",11,"Duquesne",67,71,"Duquesne","region1",2024
"69",3,"Illinois",14,"Morehead State",85,69,"Illinois","region1",2024
"70",7,"Washington State",10,"Drake",66,61,"Washington State","region1",2024
"71",2,"Iowa State",15,"South Dakota State",82,65,"Iowa State","region1",2024
"72",1,"UConn",9,"Northwestern",75,58,"UConn","region1",2024
"73",5,"San Diego State",13,"Yale",85,57,"San Diego State","region1",2024
"74",11,"Duquesne",3,"Illinois",63,89,"Illinois","region1",2024
"75",7,"Washington State",2,"Iowa State",56,67,"Iowa State","region1",2024
"76",1,"UConn",5,"San Diego State",82,52,"UConn","region1",2024
"77",3,"Illinois",2,"Iowa State",72,69,"Illinois","region1",2024
"78",1,"UConn",3,"Illinois",77,52,"UConn","region1",2024
"79",1,"Purdue",16,"Grambling",78,50,"Purdue","region2",2024
"80",8,"Utah State",9,"TCU",88,72,"Utah State","region2",2024
"81",5,"Gonzaga",12,"McNeese State",86,65,"Gonzaga","region2",2024
"82",4,"Kansas",13,"Samford",93,89,"Kansas","region2",2024
"83",6,"South Carolina",11,"Oregon",73,87,"Oregon","region2",2024
"84",3,"Creighton",14,"Akron",77,60,"Creighton","region2",2024
"85",7,"Texas",10,"Colorado State",56,44,"Texas","region2",2024
"86",2,"Tennessee",15,"St. Peter's",83,49,"Tennessee","region2",2024
"87",1,"Purdue",8,"Utah State",106,67,"Purdue","region2",2024
"88",5,"Gonzaga",4,"Kansas",89,68,"Gonzaga","region2",2024
"89",11,"Oregon",3,"Creighton",73,86,"Creighton","region2",2024
"90",7,"Texas",2,"Tennessee",58,62,"Tennessee","region2",2024
"91",1,"Purdue",5,"Gonzaga",80,68,"Purdue","region2",2024
"92",3,"Creighton",2,"Tennessee",75,82,"Tennessee","region2",2024
"93",1,"Purdue",2,"Tennessee",72,66,"Purdue","region2",2024
"94",1,"Houston",16,"Longwood",86,46,"Houston","region3",2024
"95",8,"Nebraska",9,"Texas A&M",83,98,"Texas A&M","region3",2024
"96",5,"Wisconsin",12,"James Madison",61,72,"James Madison","region3",2024
"97",4,"Duke",13,"Vermont",64,47,"Duke","region3",2024
"98",6,"Texas Tech",11,"NC State",67,80,"NC State","region3",2024
"99",3,"Kentucky",14,"Oakland",76,80,"Oakland","region3",2024
"100",7,"Florida",10,"Colorado",100,102,"Colorado","region3",2024
"101",2,"Marquette",15,"Western Kentucky",87,69,"Marquette","region3",2024
"102",1,"Houston",9,"Texas A&M",100,95,"Houston","region3",2024
"103",12,"James Madison",4,"Duke",55,93,"Duke","region3",2024
"104",11,"NC State",14,"Oakland",79,73,"NC State","region3",2024
"105",10,"Colorado",2,"Marquette",77,81,"Marquette","region3",2024
"106",1,"Houston",4,"Duke",51,54,"Duke","region3",2024
"107",11,"NC State",2,"Marquette",67,58,"NC State","region3",2024
"108",4,"Duke",11,"NC State",64,76,"NC State","region3",2024
"109",1,"UNC",16,"Wagner",90,62,"UNC","region4",2024
"110",8,"Mississippi State",9,"Michigan State",51,69,"Michigan State","region4",2024
"111",5,"Saint Mary's",12,"Grand Canyon",66,75,"Grand Canyon","region4",2024
"112",4,"Alabama",13,"College of Charleston",109,96,"Alabama","region4",2024
"113",6,"Clemson",11,"New Mexico",77,56,"Clemson","region4",2024
"114",3,"Baylor",14,"Colgate",92,67,"Baylor","region4",2024
"115",7,"Dayton",10,"Nevada",63,60,"Dayton","region4",2024
"116",2,"Arizona",15,"Long Beach State",85,65,"Arizona","region4",2024
"117",1,"UNC",9,"Michigan State",85,69,"UNC","region4",2024
"118",12,"Grand Canyon",4,"Alabama",61,72,"Alabama","region4",2024
"119",6,"Clemson",3,"Baylor",72,64,"Clemson","region4",2024
"120",7,"Dayton",2,"Arizona",68,78,"Arizona","region4",2024
"121",1,"UNC",4,"Alabama",87,89,"Alabama","region4",2024
"122",6,"Clemson",2,"Arizona",77,72,"Clemson","region4",2024
"123",4,"Alabama",6,"Clemson",89,82,"Alabama","region4",2024
"124",1,"UConn",4,"Alabama",86,72,"UConn","final four",2024
"125",1,"Purdue",11,"NC State",63,50,"Purdue","final four",2024
"126",1,"UConn",1,"Purdue",75,60,"UConn","championship",2024
"127",1,"Purdue",16,"FDU",58,63,"FDU","region1",2023
"128",8,"Memphis",9,"Florida Atlantic",65,66,"Florida Atlantic","region1",2023
"129",5,"Duke",12,"Oral Roberts",74,51,"Duke","region1",2023
"130",4,"Tennessee",13,"Louisiana",58,55,"Tennessee","region1",2023
"131",6,"Kentucky",11,"Providence",61,53,"Kentucky","region1",2023
"132",3,"Kansas State",14,"Montana State",77,65,"Kansas State","region1",2023
"133",7,"Michigan State",10,"USC",72,62,"Michigan State","region1",2023
"134",2,"Marquette",15,"Vermont",78,61,"Marquette","region1",2023
"135",16,"FDU",9,"Florida Atlantic",70,78,"Florida Atlantic","region1",2023
"136",5,"Duke",4,"Tennessee",52,65,"Tennessee","region1",2023
"137",6,"Kentucky",3,"Kansas State",69,75,"Kansas State","region1",2023
"138",7,"Michigan State",2,"Marquette",69,60,"Michigan State","region1",2023
"139",9,"Florida Atlantic",4,"Tennessee",62,55,"Florida Atlantic","region1",2023
"140",3,"Kansas State",7,"Michigan State",98,93,"Kansas State","region1",2023
"141",9,"Florida Atlantic",3,"Kansas State",79,76,"Florida Atlantic","region1",2023
"142",1,"Houston",16,"Northern Kentucky",63,52,"Houston","region2",2023
"143",8,"Iowa",9,"Auburn",75,83,"Auburn","region2",2023
