seed1,team1,seed2,team2,score1,score2,winner,region,year,team1_win,PPG_diff,PPG_Allowed_diff,Pace_diff,MOV_diff,SOS_diff,OSRS_diff,DSRS_diff,Adj_ORtg_diff,Adj_DRtg_diff
1,UConn,16,Stetson,91,52,UConn,region1,2024,1,4.6000000000000085,-9.899999999999999,-1.5,14.54,11.94,12.809999999999999,18.98,20.38000000000001,-25.540000000000006
8,Florida Atlantic,9,Northwestern,65,77,Northwestern,region1,2024,0,8.700000000000003,4.300000000000011,4.299999999999997,4.390000000000001,-3.8899999999999997,6.33,-5.84,1.9399999999999977,1.6299999999999955
5,San Diego State,12,UAB,69,65,San Diego State,region1,2024,1,-3.4000000000000057,-8.399999999999991,-1.7000000000000028,5.029999999999999,4.639999999999999,-1.0699999999999994,10.61,1.6099999999999994,-12.280000000000001
4,Auburn,13,Yale,76,78,Yale,region1,2024,0,8.399999999999991,0.7999999999999972,4.800000000000011,7.5600000000000005,7.25,13.3,4.53,13.059999999999988,-11.36999999999999
6,BYU,11,Duquesne,67,71,Duquesne,region1,2024,0,10.800000000000011,3.200000000000003,3,7.58,3.1800000000000006,13.540000000000001,-1.5599999999999996,14.430000000000007,-2.3400000000000034
3,Illinois,14,Morehead State,85,69,Illinois,region1,2024,1,8.100000000000009,9.899999999999999,3.8999999999999915,-1.83,15.059999999999999,19.71,-0.6699999999999999,18.379999999999995,-7.180000000000007
7,Washington State,10,Drake,66,61,Washington State,region1,2024,1,-6.400000000000006,-3.700000000000003,-2,-2.709999999999999,5.3500000000000005,-4.739999999999999,7.670000000000001,-0.7999999999999972,-4.8300000000000125
2,Iowa State,15,South Dakota State,82,65,Iowa State,region1,2024,1,-1.1000000000000085,-9.599999999999994,-0.6999999999999886,8.489999999999998,11.21,5.9799999999999995,15.8,9.58999999999999,-21.040000000000006
1,UConn,9,Northwestern,75,58,UConn,region1,2024,1,8.100000000000009,-5.699999999999996,1.2000000000000028,13.74,0.1999999999999993,7.299999999999999,6.640000000000001,11.27000000000001,-8.680000000000007
5,San Diego State,13,Yale,85,57,San Diego State,region1,2024,1,-0.6000000000000085,-0.7999999999999972,0.9000000000000057,0.1899999999999995,7.959999999999999,4.6000000000000005,5.45,4.8999999999999915,-9.289999999999992
11,Duquesne,3,Illinois,63,89,Illinois,region1,2024,0,-12.800000000000011,-6.599999999999994,-3.1999999999999886,-6.139999999999999,-4.859999999999999,-16.709999999999997,4.5,-17.379999999999995,-0.37999999999999545
7,Washington State,2,Iowa State,56,67,Iowa State,region1,2024,0,-1.7999999999999972,5.200000000000003,-1.5,-6.949999999999999,-1.3199999999999994,-3.96,-4.33,-2.4799999999999898,9.599999999999994
1,UConn,5,San Diego State,82,52,UConn,region1,2024,1,7.300000000000011,-3.3000000000000043,-1,10.57,0.33000000000000007,7.259999999999999,4.77,14.240000000000009,-3.1200000000000045
3,Illinois,2,Iowa State,72,69,Illinois,region1,2024,1,8.100000000000009,11.799999999999997,2.1999999999999886,-3.75,1.0299999999999994,8.879999999999999,-11.620000000000001,7.579999999999998,12.11
1,UConn,3,Illinois,77,52,UConn,region1,2024,1,-2,-9.899999999999999,-4.099999999999994,7.970000000000001,-0.8399999999999999,-4.18,11.33,3.190000000000012,-7.810000000000002
1,Purdue,16,Grambling,78,50,Purdue,region2,2024,1,14.599999999999994,-0.5999999999999943,1.3999999999999915,15.27,17.08,24.09,10.479999999999999,30.510000000000005,-18.33
8,Utah State,9,TCU,88,72,Utah State,region2,2024,1,0.7000000000000028,-0.4000000000000057,-1.2999999999999972,1.0200000000000005,-2.0300000000000002,-1.3600000000000012,-1.6999999999999997,0.4900000000000091,3.7700000000000102
5,Gonzaga,12,McNeese State,86,65,Gonzaga,region2,2024,1,4.5,6.8999999999999915,2.200000000000003,-2.339999999999998,10.829999999999998,11.41,0.09999999999999964,9.439999999999998,-5.359999999999999
4,Kansas,13,Samford,93,89,Kansas,region2,2024,1,-10.5,-4.599999999999994,-4.5,-5.890000000000001,14.55,-2.210000000000001,12.25,3.3100000000000023,-11.829999999999998
6,South Carolina,11,Oregon,73,87,Oregon,region2,2024,0,-3.5,-4.700000000000003,-3.5,1.19,-2.4299999999999997,-5.08,3.84,-1.25,0.1599999999999966
3,Creighton,14,Akron,77,60,Creighton,region2,2024,1,6.800000000000011,3.700000000000003,0.6999999999999886,3.079999999999999,11.61,14.65,2.66,17.38000000000001,-7.490000000000009
7,Texas,10,Colorado State,56,44,Texas,region2,2024,1,0.20000000000000284,1.6000000000000085,1.5,-1.42,2.13,2.91,-0.41000000000000014,0.8499999999999943,-2.6500000000000057
2,Tennessee,15,St. Peter's,83,49,Tennessee,region2,2024,1,14,3.4000000000000057,4.8999999999999915,10.57,15.75,20.17,6.210000000000001,22.010000000000005,-15.11
1,Purdue,8,Utah State,106,67,Purdue,region2,2024,1,2.5999999999999943,-2.299999999999997,-1,5.02,6.31,5.450000000000001,7.93,11.25,-7.3700000000000045
5,Gonzaga,4,Kansas,89,68,Gonzaga,region2,2024,1,8.900000000000006,-0.8000000000000114,-0.10000000000000853,9.72,-7.300000000000001,4.5,-2.9300000000000006,7.25,5.030000000000001
