"","seed1","team1","seed2","team2","score1","score2","winner","region","year","Conf_team1","W_team1","L_team1","PPG_team1","PPG_Allowed_team1","Pace_team1","MOV_team1","SOS_team1","OSRS_team1","DSRS_team1","Adj_ORtg_team1","Adj_DRtg_team1","Conf_team2","W_team2","L_team2","PPG_team2","PPG_Allowed_team2","Pace_team2","MOV_team2","SOS_team2","OSRS_team2","DSRS_team2","Adj_ORtg_team2","Adj_DRtg_team2"
"1",1,"Duke",16,"Mount St. Mary's",93,49,"Duke","region1",2025,"ACC",35,4,83.2,62.8,66.6,20.46,10.26,14.77,15.95,131.42,86.6,"MAAC",23,13,70.1,70.5,68,-0.39,-6.48,-5.34,-2.56,97.78,109.04
"2",8,"Mississippi State",9,"Baylor",72,75,"Baylor","region1",2025,"SEC",21,13,79.5,74.2,69.6,5.35,11.79,11.19,5.95,120.5,96.12,"Big 12",20,15,76.1,69.8,65.8,6.31,13.86,9.72,9.05,123.98,97.11
"3",5,"Oregon",12,"Liberty",81,52,"Oregon","region1",2025,"Big Ten",25,10,76.5,70.9,68.7,5.69,12.32,9.42,8.58,118.67,93.04,"CUSA",28,7,75.9,63.4,67.1,12.46,-0.99,0.68,6.74,111.13,99.63
"4",4,"Arizona",13,"Akron",93,65,"Arizona","region1",2025,"Big 12",24,13,82.5,73.3,70.4,9.22,13.72,16.53,6.41,125,92.65,"MAC",28,7,84,75.1,72.5,8.97,-3.75,8.07,-4.85,111.3,106.95
"5",6,"BYU",11,"VCU",80,71,"BYU","region1",2025,"Big 12",26,10,81.4,72.6,68.1,8.86,10.21,13.85,5.23,124.85,97.56,"A-10",28,7,76.9,62.9,66.6,14.06,1.3,4.63,9.82,115.77,94.17
"6",3,"Wisconsin",14,"Montana",85,66,"Wisconsin","region1",2025,"Big Ten",27,10,80.1,70.9,68.7,9.24,11.49,12.26,8.47,123.39,93.93,"Big Sky",25,10,76.6,73.3,68,3.29,-1.6,1.44,-2.89,108.88,110.88
"7",7,"Saint Mary's",10,"Vanderbilt",59,56,"Saint Mary's","region1",2025,"WCC",29,6,72.9,61.1,63.7,11.8,6.46,0.74,16.69,116.46,90.09,"SEC",20,13,78.9,74.3,69.8,4.61,10.05,11.19,3.47,119.24,98.55
"8",2,"Alabama",15,"Robert Morris",90,81,"Alabama","region1",2025,"SEC",28,9,90.7,81.3,76,9.41,16.14,24.53,1.01,127.79,92.78,"Horizon",26,9,77,71,68.8,5.97,-4.92,0.71,-0.31,105.49,104.78
"9",1,"Duke",9,"Baylor",89,66,"Duke","region1",2025,"ACC",35,4,83.2,62.8,66.6,20.46,10.26,14.77,15.95,131.42,86.6,"Big 12",20,15,76.1,69.8,65.8,6.31,13.86,9.72,9.05,123.98,97.11
"10",5,"Oregon",4,"Arizona",83,87,"Arizona","region1",2025,"Big Ten",25,10,76.5,70.9,68.7,5.69,12.32,9.42,8.58,118.67,93.04,"Big 12",24,13,82.5,73.3,70.4,9.22,13.72,16.53,6.41,125,92.65
"11",6,"BYU",3,"Wisconsin",91,89,"BYU","region1",2025,"Big 12",26,10,81.4,72.6,68.1,8.86,10.21,13.85,5.23,124.85,97.56,"Big Ten",27,10,80.1,70.9,68.7,9.24,11.49,12.26,8.47,123.39,93.93
"12",7,"Saint Mary's",2,"Alabama",66,80,"Alabama","region1",2025,"WCC",29,6,72.9,61.1,63.7,11.8,6.46,0.74,16.69,116.46,90.09,"SEC",28,9,90.7,81.3,76,9.41,16.14,24.53,1.01,127.79,92.78
"13",1,"Duke",4,"Arizona",100,93,"Duke","region1",2025,"ACC",35,4,83.2,62.8,66.6,20.46,10.26,14.77,15.95,131.42,86.6,"Big 12",24,13,82.5,73.3,70.4,9.22,13.72,16.53,6.41,125,92.65
"14",6,"BYU",2,"Alabama",88,113,"Alabama","region1",2025,"Big 12",26,10,81.4,72.6,68.1,8.86,10.21,13.85,5.23,124.85,97.56,"SEC",28,9,90.7,81.3,76,9.41,16.14,24.53,1.01,127.79,92.78
"15",1,"Duke",2,"Alabama",85,65,"Duke","region1",2025,"ACC",35,4,83.2,62.8,66.6,20.46,10.26,14.77,15.95,131.42,86.6,"SEC",28,9,90.7,81.3,76,9.41,16.14,24.53,1.01,127.79,92.78
"16",1,"Houston",16,"SIU-Edwardsville",78,40,"Houston","region2",2025,"Big 12",35,5,73.7,58.7,62.4,15,13.45,7.21,21.24,125.2,82.34,"OVC",22,12,71.6,66.5,67.7,5.18,-7.44,-6.8,0.68,98.49,106.85
"17",8,"Gonzaga",9,"Georgia",89,68,"Gonzaga","region2",2025,"WCC",26,9,86.4,69.9,70.4,16.49,7.27,17.63,6.12,125.62,92.5,"SEC",20,13,75.3,69.9,68.6,5.42,10.94,6.39,9.98,116.91,93.81
"18",5,"Clemson",12,"McNeese State",67,69,"McNeese State","region2",2025,"ACC",27,7,76.1,65.8,65,10.29,7.51,6.65,11.16,119.97,93.42,"Southland",28,7,76.6,64.5,66.4,12.11,-1.05,2.28,6.85,113.96,100.18
"19",4,"Purdue",13,"High Point",75,63,"Purdue","region2",2025,"Big Ten",24,12,77.3,70.4,66.2,6.89,13.91,10.37,10.42,126.13,96.17,"Big South",29,6,81.7,68.9,67.1,12.71,-5.19,5.54,-0.24,116.65,108.73
"20",6,"Illinois",11,"Xavier",86,73,"Illinois","region2",2025,"Big Ten",22,13,83.6,74.8,72.3,8.8,12.79,16.78,4.82,123.34,93.45,"Big East",22,12,78.1,71.6,69.4,6.53,8.72,10.04,5.21,118.33,96.79
"21",3,"Kentucky",14,"Troy",76,57,"Kentucky","region2",2025,"SEC",24,12,84.4,77.2,72.2,7.22,14.04,17.1,4.17,125.51,95.84,"Sun Belt",23,11,73.4,65.7,67.5,7.65,-2.1,-2.06,5.61,106.26,100.71
"22",7,"UCLA",10,"Utah State",72,47,"UCLA","region2",2025,"Big Ten",23,11,74.2,65.2,66.2,8.97,10.71,5.7,13.98,119.73,91.3,"MWC",26,8,79.9,70,67.2,9.85,5.35,10.45,3.11,121.61,102.01
"23",2,"Tennessee",15,"Wofford",77,62,"Tennessee","region2",2025,"SEC",30,8,74,63.1,64.9,10.95,13.25,6.08,18.11,121.32,86.15,"Southern",19,16,74.9,70,65.2,4.91,-2.34,-0.86,0.73,110.9,110.82
"24",1,"Houston",8,"Gonzaga",81,76,"Houston","region2",2025,"Big 12",35,5,73.7,58.7,62.4,15,13.45,7.21,21.24,125.2,82.34,"WCC",26,9,86.4,69.9,70.4,16.49,7.27,17.63,6.12,125.62,92.5
"25",12,"McNeese State",4,"Purdue",62,76,"Purdue","region2",2025,"Southland",28,7,76.6,64.5,66.4,12.11,-1.05,2.28,6.85,113.96,100.18,"Big Ten",24,12,77.3,70.4,66.2,6.89,13.91,10.37,10.42,126.13,96.17
"26",6,"Illinois",3,"Kentucky",75,84,"Kentucky","region2",2025,"Big Ten",22,13,83.6,74.8,72.3,8.8,12.79,16.78,4.82,123.34,93.45,"SEC",24,12,84.4,77.2,72.2,7.22,14.04,17.1,4.17,125.51,95.84
"27",7,"UCLA",2,"Tennessee",58,67,"Tennessee","region2",2025,"Big Ten",23,11,74.2,65.2,66.2,8.97,10.71,5.7,13.98,119.73,91.3,"SEC",30,8,74,63.1,64.9,10.95,13.25,6.08,18.11,121.32,86.15
"28",1,"Houston",4,"Purdue",62,60,"Houston","region2",2025,"Big 12",35,5,73.7,58.7,62.4,15,13.45,7.21,21.24,125.2,82.34,"Big Ten",24,12,77.3,70.4,66.2,6.89,13.91,10.37,10.42,126.13,96.17
"29",3,"Kentucky",2,"Tennessee",65,78,"Tennessee","region2",2025,"SEC",24,12,84.4,77.2,72.2,7.22,14.04,17.1,4.17,125.51,95.84,"SEC",30,8,74,63.1,64.9,10.95,13.25,6.08,18.11,121.32,86.15
"30",1,"Houston",2,"Tennessee",69,50,"Houston","region2",2025,"Big 12",35,5,73.7,58.7,62.4,15,13.45,7.21,21.24,125.2,82.34,"SEC",30,8,74,63.1,64.9,10.95,13.25,6.08,18.11,121.32,86.15
"31",1,"Auburn",16,"Alabama State",83,63,"Auburn","region3",2025,"SEC",32,6,83,69.4,69.2,13.55,15.13,16.94,11.74,129.16,88.83,"SWAC",20,16,73.1,72.4,69.5,0.64,-8.19,-4.67,-4.32,98.89,111.24
"32",8,"Louisville",9,"Creighton",75,89,"Creighton","region3",2025,"ACC",27,8,78.5,69.5,69,9,9.49,10.55,7.95,119.47,93.35,"Big East",25,11,75.5,70,67.7,5.44,11.04,8.48,8.01,119.56,95.8
"33",5,"Michigan",12,"UC-San Diego",68,65,"Michigan","region3",2025,"Big Ten",27,10,78,71.5,70.7,6.51,13.69,11.75,8.46,118.12,90.04,"Big West",30,5,79.3,61.8,67.4,17.54,-1.92,3.54,9.09,114.19,95.59
"34",4,"Texas A&M",13,"Yale",80,71,"Texas A&M","region3",2025,"SEC",23,11,74.6,68.7,67.8,5.91,13.39,7.4,11.91,118.02,90.01,"Ivy",22,8,81.3,70.1,69,11.23,-3.1,5.25,1.41,113.8,104.15
"35",6,"Ole Miss",11,"UNC",71,64,"Ole Miss","region3",2025,"SEC",24,12,77.2,71.7,69.2,5.47,12.8,9.84,8.44,119.39,93.31,"ACC",23,14,80.7,74.7,70.7,6.05,11.22,13.93,3.35,120.67,96.23
"36",3,"Iowa State",14,"Lipscomb",82,55,"Iowa State","region3",2025,"Big 12",25,10,80.3,68.3,69.4,12,10.33,12.28,10.06,121.32,89.7,"A-Sun",25,10,78.6,67.7,68,10.89,-4.43,0.5,3.89,110.84,103.94
"37",7,"Marquette",10,"New Mexico",66,75,"New Mexico","region3",2025,"Big East",23,11,76.6,68.7,68.1,7.82,10.37,9.22,8.97,119.1,93.25,"MWC",27,8,80.5,70.6,72.8,9.91,6.52,11.21,3.99,113.6,92.88
"38",2,"Michigan State",15,"Bryant",87,62,"Michigan State","region3",2025,"Big Ten",30,7,77.7,67.1,69,10.54,11.89,9.44,12.99,120.53,88.79,"AmEast",23,12,81.8,74.2,73.4,7.54,-6.93,3.83,-5.81,103.56,106.56
"39",1,"Auburn",9,"Creighton",82,70,"Auburn","region3",2025,"SEC",32,6,83,69.4,69.2,13.55,15.13,16.94,11.74,129.16,88.83,"Big East",25,11,75.5,70,67.7,5.44,11.04,8.48,8.01,119.56,95.8
"40",5,"Michigan",4,"Texas A&M",91,79,"Michigan","region3",2025,"Big Ten",27,10,78,71.5,70.7,6.51,13.69,11.75,8.46,118.12,90.04,"SEC",23,11,74.6,68.7,67.8,5.91,13.39,7.4,11.91,118.02,90.01
"41",6,"Ole Miss",3,"Iowa State",91,78,"Ole Miss","region3",2025,"SEC",24,12,77.2,71.7,69.2,5.47,12.8,9.84,8.44,119.39,93.31,"Big 12",25,10,80.3,68.3,69.4,12,10.33,12.28,10.06,121.32,89.7
"42",10,"New Mexico",2,"Michigan State",63,71,"Michigan State","region3",2025,"MWC",27,8,80.5,70.6,72.8,9.91,6.52,11.21,3.99,113.6,92.88,"Big Ten",30,7,77.7,67.1,69,10.54,11.89,9.44,12.99,120.53,88.79
"43",1,"Auburn",5,"Michigan",78,65,"Auburn","region3",2025,"SEC",32,6,83,69.4,69.2,13.55,15.13,16.94,11.74,129.16,88.83,"Big Ten",27,10,78,71.5,70.7,6.51,13.69,11.75,8.46,118.12,90.04
"44",6,"Ole Miss",2,"Michigan State",70,73,"Michigan State","region3",2025,"SEC",24,12,77.2,71.7,69.2,5.47,12.8,9.84,8.44,119.39,93.31,"Big Ten",30,7,77.7,67.1,69,10.54,11.89,9.44,12.99,120.53,88.79
"45",1,"Auburn",2,"Michigan State",70,64,"Auburn","region3",2025,"SEC",32,6,83,69.4,69.2,13.55,15.13,16.94,11.74,129.16,88.83,"Big Ten",30,7,77.7,67.1,69,10.54,11.89,9.44,12.99,120.53,88.79
"46",1,"Florida",16,"Norfolk State",95,69,"Florida","region4",2025,"SEC",36,4,84.8,69.6,70.6,15.18,12.6,17.7,10.08,128.46,89.36,"MEAC",24,11,77,69.7,68.2,7.31,-6.65,-1.67,-2.05,105.27,110.61
"47",8,"UConn",9,"Oklahoma",67,59,"UConn","region4",2025,"Big East",24,11,77,68,64.6,9,8.87,8.31,9.56,123.14,97.36,"SEC",20,14,78.3,74.6,69.9,3.65,11.22,9.95,4.92,119.8,98.64
"48",5,"Memphis",12,"Colorado State",70,78,"Colorado State","region4",2025,"AAC",29,6,79.9,73.4,71.2,6.49,5.66,9.16,2.99,114.34,97.25,"MWC",26,10,75.2,67.3,66.3,7.89,6.05,5.99,7.95,117.67,97.14
"49",4,"Maryland",13,"Grand Canyon",81,49,"Maryland","region4",2025,"Big Ten",27,9,81.1,67.2,70.4,13.92,9.41,12.14,11.19,120.98,88.78,"WAC",26,8,78.3,69.5,72.5,8.79,-2.63,4.5,0.47,106.84,100.59
