"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"1","UConn","Big East",37,3,81.4,63.4,66,18,8.7,12.04,14.67,127.65,89.05,2024
"2","Houston","Big 12",32,5,73.5,57.6,64.1,15.89,9.8,6.19,19.5,120.4,81.96,2024
"3","Purdue","Big Ten",34,5,82.3,69,68.3,13.33,11.6,14.65,10.29,126.62,91.31,2024
"4","Arizona","Pac-12",27,9,87.1,72.1,73.3,15.08,9.45,18.59,5.95,122.12,89.17,2024
"5","Auburn","SEC",27,8,83.1,68.3,70.9,14.8,7.66,13.48,8.98,121.57,90.09,2024
"6","Iowa State","Big 12",29,8,75.3,61.5,67.9,13.78,8.51,7.34,14.96,116.88,84.75,2024
"7","Tennessee","SEC",27,9,78.8,67.4,70.3,11.39,10.42,9.93,11.88,117.86,87.09,2024
"8","UNC","ACC",29,8,81.9,70.5,71.3,11.46,9.9,14.07,7.29,120.54,90.49,2024
"9","Alabama","SEC",25,12,90.1,81.2,73.9,8.89,11.8,21.71,-1.02,126.91,98.07,2024
"10","Duke","ACC",27,9,78.6,66.3,67.1,12.31,8.36,10.4,10.27,122.91,92.47,2024
"11","Creighton","Big East",25,10,80.4,69.9,67.6,10.54,9.53,12.41,7.66,122.98,94.05,2024
"12","Illinois","Big Ten",29,9,83.4,73.3,70.1,10.03,9.54,16.22,3.34,124.46,96.86,2024
"13","Baylor","Big 12",24,11,80.4,71.1,66.8,9.29,10.71,12.88,6.62,125.34,97.03,2024
"14","BYU","Big 12",23,11,81.4,69.9,69.9,11.47,7.86,13.05,6.28,121.51,94.14,2024
"15","Marquette","Big East",27,10,78.1,69.8,69.4,8.24,11.02,11.1,8.16,119.62,92.61,2024
"16","Gonzaga","WCC",27,8,84.5,69.1,69.8,15.4,4.02,12.87,5.06,122.62,97.22,2024
"17","Michigan State","Big Ten",20,15,72.9,66.1,66.4,6.83,10.89,4.42,13.3,115.32,90.23,2024
"18","Kentucky","SEC",23,10,89,79.7,73.9,9.33,7.46,19.16,-2.37,122.17,99.28,2024
"19","St. John's (NY)","Big East",20,13,78.8,71.9,69.6,6.91,9.58,11.01,5.47,118.8,95.19,2024
"20","Kansas","Big 12",23,11,75.6,69.9,69.9,5.68,11.32,8.37,7.99,115.37,92.19,2024
"21","Saint Mary's","WCC",26,8,74,59.2,63.8,14.79,3.46,1.55,14.77,115.39,90.41,2024
"22","Clemson","ACC",24,12,77.4,71.2,67.8,6.17,10.04,8.11,8.1,118.69,95.62,2024
"23","Wisconsin","Big Ten",22,14,74.7,70,66,4.67,11.35,7.97,8.05,120.15,96.34,2024
"24","Colorado","Pac-12",26,11,79.3,71.7,69,7.59,8.36,10.09,5.86,118.9,96.38,2024
"25","Texas","Big 12",21,13,75.4,68.9,68.2,6.5,9.41,7.62,8.28,116.41,93.36,2024
"26","Florida","SEC",24,12,85.6,79.2,73.1,6.36,8.81,16.32,-1.15,119.81,98.89,2024
"27","Cincinnati","Big 12",22,15,74.7,68.2,68.4,6.57,8.49,6.22,8.84,113.74,92.3,2024
"28","New Mexico","MWC",26,10,81,70.7,72.5,10.31,5.38,11.78,3.26,113.9,93.19,2024
"29","Utah","Pac-12",22,15,78.8,73.2,70.9,5.59,9.41,10.4,4.6,115.69,94.62,2024
"30","Texas Tech","Big 12",23,11,75.3,69.6,67.2,5.68,9.28,7.52,7.44,118.26,96.41,2024
"31","Wake Forest","ACC",21,14,78.1,70.7,68.8,7.43,7.52,10.05,4.89,118.3,96.8,2024
"32","Pitt","ACC",22,11,75.6,67.6,67,7.97,6.92,5.9,8.99,116.68,95.64,2024
"33","San Diego State","MWC",26,11,74.1,66.7,67,7.43,8.37,4.78,9.9,113.41,92.17,2024
"34","Oklahoma","Big 12",20,12,75.4,68.8,68.4,6.59,8.07,6.8,7.86,116.21,95.43,2024
"35","TCU","Big 12",21,13,79,71.7,70.6,7.29,7.32,10.56,4.06,114.88,94.91,2024
"36","Villanova","Big East",18,16,70.2,65.6,64.3,4.62,9.82,2.29,12.15,112.93,91.72,2024
"37","Nebraska","Big Ten",23,11,77.7,70.9,69.4,6.82,7.53,9.11,5.24,115.91,95.53,2024
"38","Mississippi State","SEC",21,14,74.1,69.1,68.7,5.03,9.16,4.65,9.54,112.76,92.94,2024
"39","Washington State","Pac-12",25,10,73.5,66.7,66.4,6.83,7.19,3.38,10.63,114.4,94.35,2024
"40","Ohio State","Big Ten",22,14,75.5,70.2,67.4,5.28,8.37,6.3,7.35,115.86,96.61,2024
"41","Dayton","A-10",25,8,74.2,66.5,64.8,7.73,5.73,4.96,8.49,118.29,98.15,2024
"42","Indiana State","MVC",32,7,84.8,73.2,71.4,11.67,2.26,13.21,0.23,119.38,100.75,2024
"43","Colorado State","MWC",25,11,75.2,67.3,66.7,7.92,7.28,4.71,8.69,115.56,96.01,2024
"44","Texas A&M","SEC",21,15,76,72,67.8,4.03,9.32,6.79,6.56,116.92,97.32,2024
"45","Boise State","MWC",22,11,75.1,67.3,66.9,7.82,7.35,5.59,7.73,115.69,95.68,2024
"46","Florida Atlantic","AAC",25,9,82,73.4,69.1,8.65,4.61,11.07,2.19,118.32,99.36,2024
"47","Iowa","Big Ten",19,15,83.1,79.4,72.6,3.74,9.26,14.77,-1.77,119.89,102.2,2024
"48","Nevada","MWC",26,8,75.9,66.9,66.9,9,4.58,5.41,7.44,114.47,95.82,2024
"49","NC State","ACC",26,15,75.6,71.8,68.5,3.88,8.93,7.53,5.28,114.96,96.71,2024
"50","Northwestern","Big Ten",22,12,73.3,69.1,64.8,4.26,8.5,4.74,8.03,116.38,97.73,2024
"51","Seton Hall","Big East",25,12,73.8,69.9,67.4,3.86,8.8,5.23,7.44,113.62,95.63,2024
"52","Providence","Big East",21,14,72.4,68.8,68.4,3.63,8.93,3.51,9.05,109.25,91.75,2024
"53","Xavier","Big East",16,18,75.9,74.6,71.5,1.21,11.03,8.72,3.52,112.69,95.13,2024
"54","Oregon","Pac-12",24,12,75.6,72.3,68.3,3.31,8.91,6.7,5.52,115.32,97.8,2024
"55","Butler","Big East",18,15,77.1,73.7,69.4,3.39,9.49,8.52,3.65,113.54,96.61,2024
"56","UCF","Big 12",17,16,71.7,67.9,69.3,3.76,8.17,3.44,8.49,108.09,91.42,2024
"57","Virginia Tech","ACC",19,15,74.9,71,68.1,3.94,7.97,7.19,4.72,116.44,98.58,2024
"58","Washington","Pac-12",17,15,80.6,77.1,72,3.47,8.38,12.02,-0.17,114.91,98.18,2024
"59","Utah State","MWC",28,7,79.7,71.3,69.3,8.31,5.29,9.2,2.36,115.37,98.68,2024
"60","Drake","MVC",28,7,79.9,70.4,68.4,9.54,1.84,8.12,2.96,115.2,99.18,2024
"61","Kansas State","Big 12",19,15,72.2,71.1,68.4,1.09,9.97,4.57,6.49,109.81,93.87,2024
"62","South Carolina","SEC",26,8,72.1,67.6,64.8,4.5,6.48,1.62,9.36,114.07,97.96,2024
"63","Maryland","Big Ten",16,17,69,65.9,66.3,3.15,7.44,0.07,10.53,107.55,92.75,2024
"64","Grand Canyon","WAC",30,5,79.1,67,69.8,12.09,-0.52,5.21,5.24,111.56,96.28,2024
"65","Virginia","ACC",23,11,62.9,59.8,61.2,3.15,7.31,-6.89,17.35,105.99,90.47,2024
"66","Southern Methodist","AAC",20,13,76.8,68.8,68.6,8,2.56,4.72,5.5,111.49,97.01,2024
