"","seed1","team1","seed2","team2","score1","score2","winner","region","year"
"1",1,"South Carolina",16,"Tennessee Tech",108,48,"South Carolina","region1",2025
"2",8,"Utah",9,"Indiana",68,76,"Indiana","region1",2025
"3",5,"Alabama",12,"Green Bay",81,67,"Alabama","region1",2025
"4",4,"Maryland",13,"Norfolk State",82,69,"Maryland","region1",2025
"5",6,"West Virginia",11,"Columbia",78,59,"West Virginia","region1",2025
"6",3,"UNC",14,"Oregon State",70,49,"UNC","region1",2025
"7",7,"Vanderbilt",10,"Oregon",73,77,"Oregon","region1",2025
"8",2,"Duke",15,"Lehigh",86,25,"Duke","region1",2025
"9",1,"South Carolina",9,"Indiana",64,53,"South Carolina","region1",2025
"10",5,"Alabama",4,"Maryland",108,111,"Maryland","region1",2025
"11",6,"West Virginia",3,"UNC",47,58,"UNC","region1",2025
"12",10,"Oregon",2,"Duke",53,59,"Duke","region1",2025
"13",1,"South Carolina",4,"Maryland",71,67,"South Carolina","region1",2025
"14",3,"UNC",2,"Duke",38,47,"Duke","region1",2025
"15",1,"South Carolina",2,"Duke",54,50,"South Carolina","region1",2025
"16",1,"Texas",16,"William & Mary",105,61,"Texas","region2",2025
"17",8,"Illinois",9,"Creighton",66,57,"Illinois","region2",2025
"18",5,"Tennessee",12,"South Florida",101,66,"Tennessee","region2",2025
"19",4,"Ohio State",13,"Montana State",71,51,"Ohio State","region2",2025
"20",6,"Michigan",11,"Iowa State",80,74,"Michigan","region2",2025
"21",3,"Notre Dame",14,"Stephen F. Austin",106,54,"Notre Dame","region2",2025
"22",7,"Louisville",10,"Nebraska",63,58,"Louisville","region2",2025
"23",2,"TCU",15,"FDU",73,51,"TCU","region2",2025
"24",1,"Texas",8,"Illinois",65,48,"Texas","region2",2025
"25",5,"Tennessee",4,"Ohio State",82,67,"Tennessee","region2",2025
"26",6,"Michigan",3,"Notre Dame",55,76,"Notre Dame","region2",2025
"27",7,"Louisville",2,"TCU",70,85,"TCU","region2",2025
"28",1,"Texas",5,"Tennessee",67,59,"Texas","region2",2025
"29",3,"Notre Dame",2,"TCU",62,71,"TCU","region2",2025
"30",1,"Texas",2,"TCU",58,47,"Texas","region2",2025
"31",1,"UCLA",16,"Southern",84,46,"UCLA","region3",2025
"32",8,"Richmond",9,"Georgia Tech",74,49,"Richmond","region3",2025
"33",5,"Ole Miss",12,"Ball State",83,65,"Ole Miss","region3",2025
"34",4,"Baylor",13,"Grand Canyon",73,60,"Baylor","region3",2025
"35",6,"Florida State",11,"George Mason",94,59,"Florida State","region3",2025
"36",3,"LSU",14,"San Diego State",103,48,"LSU","region3",2025
"37",7,"Michigan State",10,"Harvard",64,50,"Michigan State","region3",2025
"38",2,"NC State",15,"Vermont",75,55,"NC State","region3",2025
"39",1,"UCLA",8,"Richmond",84,67,"UCLA","region3",2025
"40",5,"Ole Miss",4,"Baylor",69,63,"Ole Miss","region3",2025
"41",6,"Florida State",3,"LSU",71,101,"LSU","region3",2025
"42",7,"Michigan State",2,"NC State",49,83,"NC State","region3",2025
"43",1,"UCLA",5,"Ole Miss",76,62,"UCLA","region3",2025
"44",3,"LSU",2,"NC State",80,73,"LSU","region3",2025
"45",1,"UCLA",3,"LSU",72,65,"UCLA","region3",2025
"46",1,"USC",16,"UNC Greensboro",71,25,"USC","region4",2025
"47",8,"California",9,"Mississippi State",46,59,"Mississippi State","region4",2025
"48",5,"Kansas State",12,"Fairfield",85,41,"Kansas State","region4",2025
"49",4,"Kentucky",13,"Liberty",79,78,"Kentucky","region4",2025
"50",6,"Iowa",11,"Murray State",92,57,"Iowa","region4",2025
"51",3,"Oklahoma",14,"Florida Gulf Coast",81,58,"Oklahoma","region4",2025
"52",7,"Oklahoma State",10,"South Dakota State",68,74,"South Dakota State","region4",2025
"53",2,"UConn",15,"Arkansas State",103,34,"UConn","region4",2025
"54",1,"USC",9,"Mississippi State",96,59,"USC","region4",2025
"55",5,"Kansas State",4,"Kentucky",80,79,"Kansas State","region4",2025
"56",6,"Iowa",3,"Oklahoma",62,96,"Oklahoma","region4",2025
"57",10,"South Dakota State",2,"UConn",57,91,"UConn","region4",2025
"58",1,"USC",5,"Kansas State",67,61,"USC","region4",2025
"59",3,"Oklahoma",2,"UConn",59,82,"UConn","region4",2025
"60",1,"USC",2,"UConn",64,78,"UConn","region4",2025
"61",1,"South Carolina",1,"Texas",74,57,"South Carolina","final four",2025
"62",1,"UCLA",2,"UConn",51,85,"UConn","final four",2025
"63",1,"South Carolina",2,"UConn",59,82,"UConn","championship",2025
"64",1,"South Carolina",16,"Presbyterian",91,39,"South Carolina","region1",2024
"65",8,"UNC",9,"Michigan State",59,56,"UNC","region1",2024
"66",5,"Oklahoma",12,"Florida Gulf Coast",73,70,"Oklahoma","region1",2024
"67",4,"Indiana",13,"Fairfield",89,56,"Indiana","region1",2024
"68",6,"Nebraska",11,"Texas A&M",61,59,"Nebraska","region1",2024
"69",3,"Oregon State",14,"Eastern Washington",73,51,"Oregon State","region1",2024
"70",7,"Ole Miss",10,"Marquette",67,55,"Ole Miss","region1",2024
"71",2,"Notre Dame",15,"Kent State",81,67,"Notre Dame","region1",2024
"72",1,"South Carolina",8,"UNC",88,41,"South Carolina","region1",2024
"73",5,"Oklahoma",4,"Indiana",68,75,"Indiana","region1",2024
"74",6,"Nebraska",3,"Oregon State",51,61,"Oregon State","region1",2024
"75",7,"Ole Miss",2,"Notre Dame",56,71,"Notre Dame","region1",2024
"76",1,"South Carolina",4,"Indiana",79,75,"South Carolina","region1",2024
"77",3,"Oregon State",2,"Notre Dame",70,65,"Oregon State","region1",2024
"78",1,"South Carolina",3,"Oregon State",70,58,"South Carolina","region1",2024
"79",1,"Iowa",16,"Holy Cross",91,65,"Iowa","region2",2024
"80",8,"West Virginia",9,"Princeton",63,53,"West Virginia","region2",2024
"81",5,"Colorado",12,"Drake",86,72,"Colorado","region2",2024
"82",4,"Kansas State",13,"Portland",78,65,"Kansas State","region2",2024
"83",6,"Louisville",11,"Middle Tennessee",69,71,"Middle Tennessee","region2",2024
"84",3,"LSU",14,"Rice",70,60,"LSU","region2",2024
"85",7,"Creighton",10,"UNLV",87,73,"Creighton","region2",2024
"86",2,"UCLA",15,"California Baptist",84,55,"UCLA","region2",2024
"87",1,"Iowa",8,"West Virginia",64,54,"Iowa","region2",2024
"88",5,"Colorado",4,"Kansas State",63,50,"Colorado","region2",2024
"89",11,"Middle Tennessee",3,"LSU",56,83,"LSU","region2",2024
"90",7,"Creighton",2,"UCLA",63,67,"UCLA","region2",2024
"91",1,"Iowa",5,"Colorado",89,68,"Iowa","region2",2024
"92",3,"LSU",2,"UCLA",78,69,"LSU","region2",2024
"93",1,"Iowa",3,"LSU",94,87,"Iowa","region2",2024
"94",1,"USC",16,"Texas A&M-Corpus Christi",87,55,"USC","region3",2024
"95",8,"Kansas",9,"Michigan",81,72,"Kansas","region3",2024
"96",5,"Baylor",12,"Vanderbilt",80,63,"Baylor","region3",2024
"97",4,"Virginia Tech",13,"Marshall",92,49,"Virginia Tech","region3",2024
