seed1,team1,seed2,team2,score1,score2,winner,region,year,team1_win,PPG_diff,PPG_Allowed_diff,Pace_diff,MOV_diff,SOS_diff,OSRS_diff,DSRS_diff,Adj_ORtg_diff,Adj_DRtg_diff
1,South Carolina,16,Tennessee Tech,108,48,South Carolina,region1,2025,1,7.799999999999997,-5.5,0.9000000000000057,13.350000000000001,29.27,21.01,22.82,27.230000000000004,-31.050000000000004
8,Utah,9,Indiana,68,76,Indiana,region1,2025,0,6.5,-0.7000000000000028,1.5,7.140000000000001,-4.57,4.65,-2.0599999999999987,4.329999999999998,0.7800000000000011
5,Alabama,12,Green Bay,81,67,Alabama,region1,2025,1,11,7.799999999999997,7,3.17,16.18,17.6,3.0299999999999994,11.88000000000001,-12.850000000000009
4,Maryland,13,Norfolk State,82,69,Maryland,region1,2025,1,6.200000000000003,13.899999999999999,2.4000000000000057,-7.6,23.509999999999998,17.86,0.16000000000000014,20.090000000000003,-3.969999999999999
6,West Virginia,11,Columbia,78,59,West Virginia,region1,2025,1,2.5,-3.5,3.8999999999999915,5.970000000000001,9.81,4.170000000000002,11.61,2.910000000000011,-16.91000000000001
3,UNC,14,Oregon State,70,49,UNC,region1,2025,1,7.199999999999996,-4.200000000000003,4,11.52,11.76,12.44,11.64,14.849999999999994,-17.49000000000001
7,Vanderbilt,10,Oregon,73,77,Oregon,region1,2025,0,15.299999999999997,5.999999999999993,4.800000000000011,9.27,-3.1999999999999993,13.95,-7.869999999999999,11.829999999999998,5.030000000000001
2,Duke,15,Lehigh,86,25,Duke,region1,2025,1,4.099999999999994,-1.7000000000000028,1.4000000000000057,5.850000000000001,26.19,13.190000000000001,20.33,17.409999999999997,-27.439999999999998
1,South Carolina,9,Indiana,64,53,South Carolina,region1,2025,1,9.199999999999989,-6.200000000000003,1.7000000000000028,15.340000000000002,5.629999999999999,11.67,9.31,13.170000000000002,-14.800000000000004
5,Alabama,4,Maryland,108,111,Maryland,region1,2025,0,-1.2000000000000028,-6.200000000000003,-1.5,5,-2.139999999999999,-3.8200000000000003,6.679999999999999,-2.539999999999992,-6.260000000000005
6,West Virginia,3,UNC,47,58,UNC,region1,2025,0,5.5,-1.5999999999999943,1.8999999999999915,7.040000000000001,-3.119999999999999,4.780000000000001,-0.8599999999999994,4.090000000000003,-1.0799999999999983
10,Oregon,2,Duke,53,59,Duke,region1,2025,0,-4.5,6.600000000000001,-0.4000000000000057,-11.030000000000001,-1.5600000000000023,-5.030000000000001,-7.5600000000000005,-6.019999999999996,11.120000000000005
1,South Carolina,4,Maryland,71,67,South Carolina,region1,2025,1,-1.4000000000000057,-12.5,-2.700000000000003,11.070000000000002,7.07,1.1600000000000001,16.98,5.840000000000003,-18.82
3,UNC,2,Duke,38,47,Duke,region1,2025,0,-2.9000000000000057,0.7999999999999972,-0.29999999999999716,-3.620000000000001,-3.5900000000000016,-4.140000000000001,-3.0700000000000003,-4.140000000000001,5.549999999999997
1,South Carolina,2,Duke,54,50,South Carolina,region1,2025,1,6.599999999999994,1.5,1.2000000000000028,5.130000000000001,3.9599999999999973,8.59,0.5,10.39,-1.4499999999999957
1,Texas,16,William & Mary,105,61,Texas,region2,2025,1,15.899999999999999,-10.899999999999991,0.09999999999999432,26.8,24.79,24.650000000000002,27.82,36.64999999999999,-34.41
8,Illinois,9,Creighton,66,57,Illinois,region2,2025,1,-1.4000000000000057,-1.8999999999999986,0.8000000000000114,0.5999999999999996,0.9200000000000017,-2.709999999999999,4.210000000000001,-3.3999999999999915,-5.200000000000003
5,Tennessee,12,South Florida,101,66,Tennessee,region2,2025,1,20.599999999999994,8.499999999999993,11.400000000000006,12.180000000000001,10.329999999999998,23.73,-1.2299999999999995,16.760000000000005,-10.600000000000009
4,Ohio State,13,Montana State,71,51,Ohio State,region2,2025,1,6.3999999999999915,7.800000000000004,3.8000000000000114,-1.3599999999999994,17.22,13.489999999999998,4.2,12.810000000000002,-9.61
6,Michigan,11,Iowa State,80,74,Michigan,region2,2025,1,0.7000000000000028,-0.9000000000000057,2,1.67,3.5200000000000014,0.9000000000000021,4.279999999999999,-0.5300000000000011,-6.47999999999999
3,Notre Dame,14,Stephen F. Austin,106,54,Notre Dame,region2,2025,1,7.200000000000003,-0.8999999999999986,1.6999999999999886,8.1,22.35,16.53,17.41,18.320000000000007,-25.260000000000005
7,Louisville,10,Nebraska,63,58,Louisville,region2,2025,1,-3.700000000000003,-0.7000000000000028,0.4000000000000057,-2.9699999999999998,3.599999999999998,-3.0000000000000018,3.63,-3.4199999999999875,-3.9099999999999966
2,TCU,15,FDU,73,51,TCU,region2,2025,1,9.700000000000003,2.3999999999999986,3.5,7.289999999999999,29.56,24.139999999999997,13.92,30.03,-21.439999999999998
1,Texas,8,Illinois,65,48,Texas,region2,2025,1,7.5,-5.5,2.3999999999999915,13.030000000000001,4.609999999999999,9.22,8.440000000000001,8.959999999999994,-13.14
5,Tennessee,4,Ohio State,82,67,Tennessee,region2,2025,1,8.299999999999997,6.3999999999999915,4.599999999999994,1.950000000000001,1.839999999999998,9.440000000000001,-5.33,6.709999999999994,2.5600000000000023
6,Michigan,3,Notre Dame,55,76,Notre Dame,region2,2025,0,-6.900000000000006,4.399999999999999,-1.5999999999999943,-11.229999999999999,-0.48999999999999844,-8.099999999999998,-3.630000000000001,-5.200000000000003,9.690000000000012
7,Louisville,2,TCU,70,85,TCU,region2,2025,0,-4.900000000000006,9.899999999999999,3.6000000000000085,-14.779999999999998,4.449999999999999,-4.209999999999999,-6.119999999999999,-11.419999999999987,4.239999999999995
1,Texas,5,Tennessee,67,59,Texas,region2,2025,1,-8.799999999999997,-13.899999999999991,-8.200000000000003,5.16,1.990000000000002,-7.27,14.440000000000001,1.4099999999999966,-10.420000000000002
3,Notre Dame,2,TCU,62,71,TCU,region2,2025,0,7.700000000000003,4.299999999999997,8.299999999999997,3.3900000000000006,3.5,8.440000000000001,-1.549999999999999,-3.4799999999999898,-8.970000000000013
1,Texas,2,TCU,58,47,Texas,region2,2025,1,1.0999999999999943,-1.3999999999999986,3.5,2.610000000000003,5.460000000000001,2.770000000000003,5.310000000000002,-2.0799999999999983,-10.77000000000001
1,UCLA,16,Southern,84,46,UCLA,region3,2025,1,19.10000000000001,0.8999999999999986,2.1000000000000085,18.13,21.93,30.16,12.51,36.25999999999999,-21.429999999999993
8,Richmond,9,Georgia Tech,74,49,Richmond,region3,2025,1,-4.099999999999994,-7.099999999999994,-4.699999999999989,3.040000000000001,-7.8999999999999995,-6.280000000000001,1.4100000000000001,-0.8799999999999955,3.299999999999997
5,Ole Miss,12,Ball State,83,65,Ole Miss,region3,2025,1,2.799999999999997,-1.3999999999999986,-0.20000000000000284,4.119999999999999,13.95,9.09,10.88,14.629999999999995,-12.790000000000006
4,Baylor,13,Grand Canyon,73,60,Baylor,region3,2025,1,0.7000000000000028,3.0999999999999943,0.29999999999999716,-2.34,17.21,10.540000000000001,6.86,9.650000000000006,-13.260000000000005
6,Florida State,11,George Mason,94,59,Florida State,region3,2025,1,13.600000000000009,13.900000000000006,8.899999999999991,-0.20999999999999908,12.12,17.689999999999998,-4.550000000000001,10.989999999999995,-4.060000000000002
3,LSU,14,San Diego State,103,48,LSU,region3,2025,1,16,4.100000000000001,8.299999999999997,11.88,15.35,22.45,7.359999999999999,20.120000000000005,-16.75
7,Michigan State,10,Harvard,64,50,Michigan State,region3,2025,1,9.299999999999997,11.199999999999996,9,-1.9600000000000009,13.82,12.61,-0.75,8,-4.740000000000009
2,NC State,15,Vermont,75,55,NC State,region3,2025,1,16.000000000000007,12.199999999999996,11,3.709999999999999,22.84,23.27,2.5600000000000005,17.810000000000002,-14.540000000000006
1,UCLA,8,Richmond,84,67,UCLA,region3,2025,1,5.900000000000006,1.1000000000000014,4.5,4.809999999999999,13.48,10.74,7.549999999999999,7.849999999999994,-15
5,Ole Miss,4,Baylor,69,63,Ole Miss,region3,2025,1,-2.1000000000000085,-1.1999999999999957,-1.0999999999999943,-0.990000000000002,2.3900000000000006,-2.33,3.7300000000000004,1.4899999999999949,-0.5799999999999983
6,Florida State,3,LSU,71,101,LSU,region3,2025,0,2.1000000000000085,6,1,-3.84,-3.1500000000000004,1.4699999999999989,-8.469999999999999,0.09999999999999432,8.780000000000001
7,Michigan State,2,NC State,49,83,NC State,region3,2025,0,1.1999999999999886,-1,3.0999999999999943,2.17,-3.6099999999999994,-1.8300000000000018,0.379999999999999,-4.810000000000002,-1.8900000000000006
1,UCLA,5,Ole Miss,76,62,UCLA,region3,2025,1,2.6000000000000085,-0.5,-0.5999999999999943,3.09,3.67,5.119999999999999,1.6499999999999986,6.159999999999997,-2.8799999999999955
3,LSU,2,NC State,80,73,LSU,region3,2025,1,7.8999999999999915,0.6000000000000085,4.3999999999999915,7.280000000000001,-2.1999999999999993,5.039999999999999,0.049999999999998934,1.0600000000000023,-3.489999999999995
1,UCLA,3,LSU,72,65,UCLA,region3,2025,1,-6.8999999999999915,-7.100000000000001,-6.199999999999989,0.21999999999999886,2.4299999999999997,-4.52,7.16,3.289999999999992,-3.0799999999999983
1,USC,16,UNC Greensboro,71,25,USC,region4,2025,1,16.900000000000006,7,10.299999999999997,9.909999999999998,24.38,29.82,10.570000000000002,26.33,-25.78
8,California,9,Mississippi State,46,59,Mississippi State,region4,2025,0,-2.0999999999999943,0.30000000000001137,-0.5,-2.3499999999999996,1.4299999999999997,-1.6400000000000006,0.7199999999999989,-0.6299999999999955,0.8200000000000074
5,Kansas State,12,Fairfield,85,41,Kansas State,region4,2025,1,7,3.8999999999999986,2,3.139999999999997,18.87,15.48,7.47,17.569999999999993,-13.11
4,Kentucky,13,Liberty,79,78,Kentucky,region4,2025,1,3.8000000000000114,3.1999999999999957,2.4000000000000057,0.6699999999999999,15.079999999999998,10.3,8.91,9.760000000000005,-14.269999999999996
6,Iowa,11,Murray State,92,57,Iowa,region4,2025,1,-12.399999999999991,-6.900000000000006,-5.299999999999997,-5.5,16.849999999999998,-5.92,17.26,0.04999999999999716,-16.790000000000006
3,Oklahoma,14,Florida Gulf Coast,81,58,Oklahoma,region4,2025,1,13,14.900000000000006,12.900000000000006,-1.9699999999999989,22.9,24.55,-1.6599999999999993,13.469999999999999,-13.280000000000001
7,Oklahoma State,10,South Dakota State,68,74,South Dakota State,region4,2025,0,0.7000000000000028,-2,3.299999999999997,2.7700000000000014,4.259999999999999,4.639999999999999,3.5900000000000007,-0.46999999999999886,-10.11
2,UConn,15,Arkansas State,103,34,UConn,region4,2025,1,9.600000000000009,-15.399999999999991,-6.3999999999999915,25.11,19.130000000000003,20.29,24.560000000000002,36.43000000000001,-27.040000000000006
1,USC,9,Mississippi State,96,59,USC,region4,2025,1,5.700000000000003,-4.699999999999996,2.799999999999997,10.44,5.6,8.42,7.620000000000001,7.25,-13.459999999999994
