"","seed1","team1","seed2","team2","score1","score2","winner","region","year","Conf_team1","W_team1","L_team1","PPG_team1","PPG_Allowed_team1","Pace_team1","MOV_team1","SOS_team1","OSRS_team1","DSRS_team1","Adj_ORtg_team1","Adj_DRtg_team1","Conf_team2","W_team2","L_team2","PPG_team2","PPG_Allowed_team2","Pace_team2","MOV_team2","SOS_team2","OSRS_team2","DSRS_team2","Adj_ORtg_team2","Adj_DRtg_team2"
"1",1,"South Carolina",16,"Tennessee Tech",108,48,"South Carolina","region1",2025,"SEC",35,4,79.1,58,71.7,21.1,23.4,23.41,21.09,122.67,63.46,"OVC",26,6,71.3,63.5,70.8,7.75,-5.87,2.4,-1.73,95.44,94.51
"2",8,"Utah",9,"Indiana",68,76,"Indiana","region1",2025,"Big 12",22,9,76.4,63.5,71.5,12.9,13.2,16.39,9.72,113.83,79.04,"Big Ten",20,13,69.9,64.2,70,5.76,17.77,11.74,11.78,109.5,78.26
"3",5,"Alabama",12,"Green Bay",81,67,"Alabama","region1",2025,"SEC",24,9,79.3,64.3,72.9,15.03,14.19,18.43,10.79,114.29,76.02,"Horizon",29,6,68.3,56.5,65.9,11.86,-1.99,0.83,7.76,102.41,88.87
"4",4,"Maryland",13,"Norfolk State",82,69,"Maryland","region1",2025,"Big Ten",25,8,80.5,70.5,74.4,10.03,16.33,22.25,4.11,116.83,82.28,"MEAC",30,5,74.3,56.6,72,17.63,-7.18,4.39,3.95,96.74,86.25
"5",6,"West Virginia",11,"Columbia",78,59,"West Virginia","region1",2025,"Big 12",25,8,75.1,55.7,72.1,19.39,12.73,15.46,16.66,112.23,69.38,"Ivy",24,7,72.6,59.2,68.2,13.42,2.92,11.29,5.05,109.32,86.29
"6",3,"UNC",14,"Oregon State",70,49,"UNC","region1",2025,"ACC",29,8,69.6,57.3,70.2,12.35,15.85,10.68,17.52,108.14,70.46,"WCC",19,16,62.4,61.5,66.2,0.83,4.09,-1.76,5.88,93.29,87.95
"7",7,"Vanderbilt",10,"Oregon",73,77,"Oregon","region1",2025,"SEC",22,11,83.3,69.1,74.9,14.21,14.68,23.74,5.16,118.09,81.06,"Big Ten",20,12,68,63.1,70.1,4.94,17.88,9.79,13.03,106.26,76.03
"8",2,"Duke",15,"Lehigh",86,25,"Duke","region1",2025,"ACC",29,8,72.5,56.5,70.5,15.97,19.44,14.82,20.59,112.28,64.91,"Patriot",27,7,68.4,58.2,69.1,10.12,-6.75,1.63,0.26,94.87,92.35
"9",1,"South Carolina",9,"Indiana",64,53,"South Carolina","region1",2025,"SEC",35,4,79.1,58,71.7,21.1,23.4,23.41,21.09,122.67,63.46,"Big Ten",20,13,69.9,64.2,70,5.76,17.77,11.74,11.78,109.5,78.26
"10",5,"Alabama",4,"Maryland",108,111,"Maryland","region1",2025,"SEC",24,9,79.3,64.3,72.9,15.03,14.19,18.43,10.79,114.29,76.02,"Big Ten",25,8,80.5,70.5,74.4,10.03,16.33,22.25,4.11,116.83,82.28
"11",6,"West Virginia",3,"UNC",47,58,"UNC","region1",2025,"Big 12",25,8,75.1,55.7,72.1,19.39,12.73,15.46,16.66,112.23,69.38,"ACC",29,8,69.6,57.3,70.2,12.35,15.85,10.68,17.52,108.14,70.46
"12",10,"Oregon",2,"Duke",53,59,"Duke","region1",2025,"Big Ten",20,12,68,63.1,70.1,4.94,17.88,9.79,13.03,106.26,76.03,"ACC",29,8,72.5,56.5,70.5,15.97,19.44,14.82,20.59,112.28,64.91
"13",1,"South Carolina",4,"Maryland",71,67,"South Carolina","region1",2025,"SEC",35,4,79.1,58,71.7,21.1,23.4,23.41,21.09,122.67,63.46,"Big Ten",25,8,80.5,70.5,74.4,10.03,16.33,22.25,4.11,116.83,82.28
"14",3,"UNC",2,"Duke",38,47,"Duke","region1",2025,"ACC",29,8,69.6,57.3,70.2,12.35,15.85,10.68,17.52,108.14,70.46,"ACC",29,8,72.5,56.5,70.5,15.97,19.44,14.82,20.59,112.28,64.91
"15",1,"South Carolina",2,"Duke",54,50,"South Carolina","region1",2025,"SEC",35,4,79.1,58,71.7,21.1,23.4,23.41,21.09,122.67,63.46,"ACC",29,8,72.5,56.5,70.5,15.97,19.44,14.82,20.59,112.28,64.91
"16",1,"Texas",16,"William & Mary",105,61,"Texas","region2",2025,"SEC",35,4,77.8,56.2,71.3,21.69,19.32,20.35,20.67,119.77,65.41,"CAA",16,19,61.9,67.1,71.2,-5.11,-5.47,-4.3,-7.15,83.12,99.82
"17",8,"Illinois",9,"Creighton",66,57,"Illinois","region2",2025,"Big Ten",22,10,70.3,61.7,68.9,8.66,14.71,11.13,12.23,110.81,78.55,"Big East",26,7,71.7,63.6,68.1,8.06,13.79,13.84,8.02,114.21,83.75
"18",5,"Tennessee",12,"South Florida",101,66,"Tennessee","region2",2025,"SEC",24,10,86.6,70.1,79.5,16.53,17.33,27.62,6.23,118.36,75.83,"AAC",23,11,66,61.6,68.1,4.35,7,3.89,7.46,101.6,86.43
"19",4,"Ohio State",13,"Montana State",71,51,"Ohio State","region2",2025,"Big Ten",26,7,78.3,63.7,74.9,14.58,15.49,18.18,11.56,111.65,73.27,"Big Sky",30,4,71.9,55.9,71.1,15.94,-1.73,4.69,7.36,98.84,82.88
"20",6,"Michigan",11,"Iowa State",80,74,"Michigan","region2",2025,"Big Ten",23,11,77.5,66.3,74.5,11.24,16.87,17.92,10.18,113.17,76.9,"Big 12",23,12,76.8,67.2,72.5,9.57,13.35,17.02,5.9,113.7,83.38
"21",3,"Notre Dame",14,"Stephen F. Austin",106,54,"Notre Dame","region2",2025,"ACC",28,6,84.4,61.9,76.1,22.47,17.36,26.02,13.81,118.37,67.21,"Southland",29,6,77.2,62.8,74.4,14.37,-4.99,9.49,-3.6,100.05,92.47
"22",7,"Louisville",10,"Nebraska",63,58,"Louisville","region2",2025,"ACC",22,11,71.8,67.5,71.4,4.3,18.31,13.37,9.24,110.43,80.42,"Big Ten",21,12,75.5,68.2,71,7.27,14.71,16.37,5.61,113.85,84.33
"23",2,"TCU",15,"FDU",73,51,"TCU","region2",2025,"Big 12",34,4,76.7,57.6,67.8,19.08,13.86,17.58,15.36,121.85,76.18,"NEC",29,4,67,55.2,64.3,11.79,-15.7,-6.56,1.44,91.82,97.62
"24",1,"Texas",8,"Illinois",65,48,"Texas","region2",2025,"SEC",35,4,77.8,56.2,71.3,21.69,19.32,20.35,20.67,119.77,65.41,"Big Ten",22,10,70.3,61.7,68.9,8.66,14.71,11.13,12.23,110.81,78.55
"25",5,"Tennessee",4,"Ohio State",82,67,"Tennessee","region2",2025,"SEC",24,10,86.6,70.1,79.5,16.53,17.33,27.62,6.23,118.36,75.83,"Big Ten",26,7,78.3,63.7,74.9,14.58,15.49,18.18,11.56,111.65,73.27
"26",6,"Michigan",3,"Notre Dame",55,76,"Notre Dame","region2",2025,"Big Ten",23,11,77.5,66.3,74.5,11.24,16.87,17.92,10.18,113.17,76.9,"ACC",28,6,84.4,61.9,76.1,22.47,17.36,26.02,13.81,118.37,67.21
"27",7,"Louisville",2,"TCU",70,85,"TCU","region2",2025,"ACC",22,11,71.8,67.5,71.4,4.3,18.31,13.37,9.24,110.43,80.42,"Big 12",34,4,76.7,57.6,67.8,19.08,13.86,17.58,15.36,121.85,76.18
"28",1,"Texas",5,"Tennessee",67,59,"Texas","region2",2025,"SEC",35,4,77.8,56.2,71.3,21.69,19.32,20.35,20.67,119.77,65.41,"SEC",24,10,86.6,70.1,79.5,16.53,17.33,27.62,6.23,118.36,75.83
"29",3,"Notre Dame",2,"TCU",62,71,"TCU","region2",2025,"ACC",28,6,84.4,61.9,76.1,22.47,17.36,26.02,13.81,118.37,67.21,"Big 12",34,4,76.7,57.6,67.8,19.08,13.86,17.58,15.36,121.85,76.18
"30",1,"Texas",2,"TCU",58,47,"Texas","region2",2025,"SEC",35,4,77.8,56.2,71.3,21.69,19.32,20.35,20.67,119.77,65.41,"Big 12",34,4,76.7,57.6,67.8,19.08,13.86,17.58,15.36,121.85,76.18
"31",1,"UCLA",16,"Southern",84,46,"UCLA","region3",2025,"Big Ten",34,3,77.9,58.6,70.9,19.27,18.68,20.34,17.61,120.05,69.17,"SWAC",21,15,58.8,57.7,68.8,1.14,-3.25,-9.82,5.1,83.79,90.6
"32",8,"Richmond",9,"Georgia Tech",74,49,"Richmond","region3",2025,"A-10",28,7,72,57.5,66.4,14.46,5.2,9.6,10.06,112.2,84.17,"ACC",22,11,76.1,64.6,71.1,11.42,13.1,15.88,8.65,113.08,80.87
"33",5,"Ole Miss",12,"Ball State",83,65,"Ole Miss","region3",2025,"SEC",22,11,75.3,59.1,71.5,16.18,15.01,15.22,15.96,113.89,72.05,"MAC",27,8,72.5,60.5,71.7,12.06,1.06,6.13,5.08,99.26,84.84
"34",4,"Baylor",13,"Grand Canyon",73,60,"Baylor","region3",2025,"Big 12",28,8,77.4,60.3,72.6,17.17,12.62,17.55,12.23,112.4,72.63,"WAC",32,3,76.7,57.2,72.3,19.51,-4.59,7.01,5.37,102.75,85.89
"35",6,"Florida State",11,"George Mason",94,59,"Florida State","region3",2025,"ACC",24,9,86.9,71.7,78.1,15.21,13.1,26.33,1.98,116.86,81.03,"A-10",27,6,73.3,57.8,69.2,15.42,0.98,8.64,6.53,105.87,85.09
"36",3,"LSU",14,"San Diego State",103,48,"LSU","region3",2025,"SEC",31,6,84.8,65.7,77.1,19.05,16.25,24.86,10.45,116.76,72.25,"MWC",25,10,68.8,61.6,68.8,7.17,0.9,2.41,3.09,96.64,89
"37",7,"Michigan State",10,"Harvard",64,50,"Michigan State","region3",2025,"Big Ten",22,10,78.1,64.1,75.8,13.94,14.84,17.99,10.78,110.89,73.85,"Ivy",24,5,68.8,52.9,66.8,15.9,1.02,5.38,11.53,102.89,78.59
"38",2,"NC State",15,"Vermont",75,55,"NC State","region3",2025,"ACC",28,7,76.9,65.1,72.7,11.77,18.45,19.82,10.4,115.7,75.74,"AmEast",21,13,60.9,52.9,61.7,8.06,-4.39,-3.45,7.84,97.89,90.28
"39",1,"UCLA",8,"Richmond",84,67,"UCLA","region3",2025,"Big Ten",34,3,77.9,58.6,70.9,19.27,18.68,20.34,17.61,120.05,69.17,"A-10",28,7,72,57.5,66.4,14.46,5.2,9.6,10.06,112.2,84.17
"40",5,"Ole Miss",4,"Baylor",69,63,"Ole Miss","region3",2025,"SEC",22,11,75.3,59.1,71.5,16.18,15.01,15.22,15.96,113.89,72.05,"Big 12",28,8,77.4,60.3,72.6,17.17,12.62,17.55,12.23,112.4,72.63
"41",6,"Florida State",3,"LSU",71,101,"LSU","region3",2025,"ACC",24,9,86.9,71.7,78.1,15.21,13.1,26.33,1.98,116.86,81.03,"SEC",31,6,84.8,65.7,77.1,19.05,16.25,24.86,10.45,116.76,72.25
"42",7,"Michigan State",2,"NC State",49,83,"NC State","region3",2025,"Big Ten",22,10,78.1,64.1,75.8,13.94,14.84,17.99,10.78,110.89,73.85,"ACC",28,7,76.9,65.1,72.7,11.77,18.45,19.82,10.4,115.7,75.74
"43",1,"UCLA",5,"Ole Miss",76,62,"UCLA","region3",2025,"Big Ten",34,3,77.9,58.6,70.9,19.27,18.68,20.34,17.61,120.05,69.17,"SEC",22,11,75.3,59.1,71.5,16.18,15.01,15.22,15.96,113.89,72.05
