"","School","Conf","W","L","PPG","PPG_Allowed","Pace","MOV","SOS","OSRS","DSRS","Adj_ORtg","Adj_DRtg","year"
"1","UConn","Big East",37,3,81.7,52.2,69.4,29.55,16.12,24.78,20.89,128.11,64.58,2025
"2","South Carolina","SEC",35,4,79.1,58,71.7,21.1,23.4,23.41,21.09,122.67,63.46,2025
"3","Texas","SEC",35,4,77.8,56.2,71.3,21.69,19.32,20.35,20.67,119.77,65.41,2025
"4","Notre Dame","ACC",28,6,84.4,61.9,76.1,22.47,17.36,26.02,13.81,118.37,67.21,2025
"5","USC","Big Ten",31,4,80.7,59.4,76.1,21.29,18.18,23.05,16.42,116.36,64.67,2025
"6","UCLA","Big Ten",34,3,77.9,58.6,70.9,19.27,18.68,20.34,17.61,120.05,69.17,2025
"7","Duke","ACC",29,8,72.5,56.5,70.5,15.97,19.44,14.82,20.59,112.28,64.91,2025
"8","LSU","SEC",31,6,84.8,65.7,77.1,19.05,16.25,24.86,10.45,116.76,72.25,2025
"9","Tennessee","SEC",24,10,86.6,70.1,79.5,16.53,17.33,27.62,6.23,118.36,75.83,2025
"10","Oklahoma","SEC",27,8,84.7,68.9,81,15.77,17.64,26.54,6.87,113.82,71.59,2025
"11","Kansas State","Big 12",28,8,78.9,58.9,70.9,20.08,13.15,20.07,13.17,118.47,73.19,2025
"12","TCU","Big 12",34,4,76.7,57.6,67.8,19.08,13.86,17.58,15.36,121.85,76.18,2025
"13","West Virginia","Big 12",25,8,75.1,55.7,72.1,19.39,12.73,15.46,16.66,112.23,69.38,2025
"14","Ole Miss","SEC",22,11,75.3,59.1,71.5,16.18,15.01,15.22,15.96,113.89,72.05,2025
"15","NC State","ACC",28,7,76.9,65.1,72.7,11.77,18.45,19.82,10.4,115.7,75.74,2025
"16","Baylor","Big 12",28,8,77.4,60.3,72.6,17.17,12.62,17.55,12.23,112.4,72.63,2025
"17","Ohio State","Big Ten",26,7,78.3,63.7,74.9,14.58,15.49,18.18,11.56,111.65,73.27,2025
"18","Alabama","SEC",24,9,79.3,64.3,72.9,15.03,14.19,18.43,10.79,114.29,76.02,2025
"19","Kentucky","SEC",23,8,75.9,63.4,71.9,12.52,16.49,16.44,12.57,112.89,75.04,2025
