team1,seed1,region,team2,seed2,PPG_team1,PPG_Allowed_team1,Pace_team1,MOV_team1,SOS_team1,OSRS_team1,DSRS_team1,Adj_ORtg_team1,Adj_DRtg_team1,year_team1,PPG_team2,PPG_Allowed_team2,Pace_team2,MOV_team2,SOS_team2,OSRS_team2,DSRS_team2,Adj_ORtg_team2,Adj_DRtg_team2,year_team2,PPG_diff,PPG_Allowed_diff,Pace_diff,MOV_diff,SOS_diff,OSRS_diff,DSRS_diff,Adj_ORtg_diff,Adj_DRtg_diff
UConn,1,FORT WORTH 1,UCLA,1,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,85.1,57,69.7,28.13,20.86,27.66,21.32,132.47,65.02,2026,3.700000000000003,-6.600000000000001,3.8999999999999915,10.250000000000004,-7.33,1.9199999999999982,1.009999999999998,-3.740000000000009,-5.8899999999999935
UConn,1,FORT WORTH 1,South Carolina,1,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,86.3,57.9,73.5,28.35,19.26,28.48,19.14,126.99,64.7,2026,2.5,-7.5,0.09999999999999432,10.030000000000001,-5.730000000000002,1.0999999999999979,3.1899999999999977,1.7399999999999949,-5.57
UConn,1,FORT WORTH 1,LSU,2,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,94.5,60.8,78.6,33.63,13.18,33.96,12.85,125.67,68.06,2026,-5.700000000000003,-10.399999999999999,-5,4.75,0.34999999999999964,-4.380000000000003,9.479999999999999,3.059999999999988,-8.93
UConn,1,FORT WORTH 1,Texas,1,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,85,56.6,73.3,28.32,18.19,26.21,20.31,125.14,64.05,2026,3.799999999999997,-6.200000000000003,0.29999999999999716,10.060000000000002,-4.660000000000002,3.3699999999999974,2.0199999999999996,3.589999999999989,-4.919999999999995
UConn,1,FORT WORTH 1,Michigan,2,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,83.6,63,75.1,20.68,18.86,24.62,14.92,118.19,66.93,2026,5.200000000000003,-12.600000000000001,-1.5,17.700000000000003,-5.33,4.959999999999997,7.409999999999998,10.539999999999992,-7.800000000000004
UConn,1,FORT WORTH 1,Oklahoma,4,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,86.7,68.1,81.1,18.61,15.91,27.05,7.48,114.11,71.31,2026,2.0999999999999943,-17.699999999999996,-7.5,19.770000000000003,-2.380000000000001,2.5299999999999976,14.849999999999998,14.61999999999999,-12.18
UConn,1,FORT WORTH 1,Vanderbilt,2,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,84.7,65.5,73.6,19.16,15.15,25.36,8.96,123.22,78.15,2026,4.099999999999994,-15.100000000000001,0,19.220000000000002,-1.620000000000001,4.219999999999999,13.369999999999997,5.509999999999991,-19.020000000000003
UConn,1,FORT WORTH 1,Duke,3,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,74.1,58.9,71.8,15.22,18.87,16.52,17.57,112.57,67.37,2026,14.700000000000003,-8.5,1.7999999999999972,23.160000000000004,-5.340000000000002,13.059999999999999,4.759999999999998,16.159999999999997,-8.240000000000002
UConn,1,FORT WORTH 1,Louisville,3,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,79.9,60.8,71.7,19.18,14.35,20.43,13.1,119.11,74.62,2026,8.899999999999991,-10.399999999999999,1.8999999999999915,19.200000000000003,-0.8200000000000003,9.149999999999999,9.229999999999999,9.61999999999999,-15.490000000000002
UConn,1,FORT WORTH 1,Iowa,2,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,76.8,65.2,72.4,11.63,21.17,18.94,13.86,115.29,71.67,2026,12,-14.800000000000004,1.1999999999999886,26.75,-7.640000000000002,10.639999999999997,8.469999999999999,13.439999999999984,-12.54
UConn,1,FORT WORTH 1,Ohio State,3,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,81.7,66.2,76.3,15.52,17.1,23.01,9.6,115.61,73.76,2026,7.099999999999994,-15.800000000000004,-2.700000000000003,22.860000000000003,-3.570000000000002,6.569999999999997,12.729999999999999,13.11999999999999,-14.630000000000003
UConn,1,FORT WORTH 1,Maryland,5,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,82.3,63.2,73.2,19.03,13.37,22.37,10.04,116.77,73.44,2026,6.5,-12.800000000000004,0.3999999999999915,19.35,0.16000000000000014,7.209999999999997,12.29,11.959999999999994,-14.309999999999995
UConn,1,FORT WORTH 1,Minnesota,4,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,74.9,57.9,68.1,17,15.29,14.94,17.35,116.06,71.3,2026,13.899999999999991,-7.5,5.5,21.380000000000003,-1.7599999999999998,14.639999999999999,4.979999999999997,12.669999999999987,-12.169999999999995
UConn,1,FORT WORTH 1,Michigan State,5,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,83,65.9,73.4,17.13,15.09,22.61,9.61,119.68,76.94,2026,5.799999999999997,-15.500000000000007,0.19999999999998863,21.250000000000004,-1.5600000000000005,6.969999999999999,12.719999999999999,9.049999999999983,-17.809999999999995
UConn,1,FORT WORTH 1,Texas Christian,3,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,77.6,56.3,70.6,21.26,10.82,15.89,16.19,114.52,71.73,2026,11.200000000000003,-5.899999999999999,3,17.12,2.709999999999999,13.689999999999998,6.139999999999997,14.209999999999994,-12.600000000000001
UConn,1,FORT WORTH 1,West Virginia,4,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,76.3,58.1,72.5,18.18,13.74,16.77,15.15,113.82,71.66,2026,12.5,-7.700000000000003,1.0999999999999943,20.200000000000003,-0.21000000000000085,12.809999999999999,7.179999999999998,14.909999999999997,-12.529999999999994
UConn,1,FORT WORTH 1,Kentucky,5,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,75.6,60.2,69.8,15.39,16.07,15.85,15.61,116.1,73.46,2026,13.200000000000003,-9.800000000000004,3.799999999999997,22.990000000000002,-2.540000000000001,13.729999999999999,6.719999999999999,12.629999999999995,-14.329999999999991
UConn,1,FORT WORTH 1,UNC,4,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,75.4,59,70.2,16.45,12.61,15.06,14.01,111.6,73.02,2026,13.399999999999991,-8.600000000000001,3.3999999999999915,21.930000000000003,0.9199999999999999,14.519999999999998,8.319999999999999,17.129999999999995,-13.889999999999993
UConn,1,FORT WORTH 1,Ole Miss,5,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,75.4,62,71.5,13.44,14.96,15.7,12.7,112.41,75.48,2026,13.399999999999991,-11.600000000000001,2.0999999999999943,24.940000000000005,-1.4300000000000015,13.879999999999999,9.629999999999999,16.319999999999993,-16.35
UConn,1,FORT WORTH 1,USC,9,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,69.9,62.9,71.9,7.07,21.08,12.47,15.67,108.35,70.55,2026,18.89999999999999,-12.5,1.6999999999999886,31.310000000000002,-7.549999999999999,17.11,6.659999999999998,20.379999999999995,-11.419999999999995
UConn,1,FORT WORTH 1,Tennessee,10,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,77,69.4,75.8,7.55,20.45,19.92,8.08,112.31,75.98,2026,11.799999999999997,-19.000000000000007,-2.200000000000003,30.830000000000002,-6.92,9.659999999999997,14.249999999999998,16.419999999999987,-16.85
UConn,1,FORT WORTH 1,Notre Dame,6,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,77.9,64.9,73.5,13,14.81,18.2,9.61,113,76.94,2026,10.899999999999991,-14.500000000000007,0.09999999999999432,25.380000000000003,-1.2800000000000011,11.379999999999999,12.719999999999999,15.72999999999999,-17.809999999999995
UConn,1,FORT WORTH 1,Nebraska,11,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,79.3,67.7,72.3,11.63,15.75,19.07,8.31,117.08,80.15,2026,9.5,-17.300000000000004,1.2999999999999972,26.75,-2.2200000000000006,10.509999999999998,14.019999999999998,11.649999999999991,-21.020000000000003
UConn,1,FORT WORTH 1,Oregon,8,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,74.7,64.5,72.8,10.21,16.35,15.53,11.03,109.75,74.34,2026,14.099999999999994,-14.100000000000001,0.7999999999999972,28.17,-2.820000000000002,14.049999999999999,11.299999999999999,18.97999999999999,-15.21
UConn,1,FORT WORTH 1,NC State,7,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,77.2,66.5,73.2,10.73,15.72,18.06,8.39,112.57,77.78,2026,11.599999999999994,-16.1,0.3999999999999915,27.650000000000002,-2.1900000000000013,11.52,13.939999999999998,16.159999999999997,-18.65
UConn,1,FORT WORTH 1,Washington,6,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,71.7,62.2,68.5,9.48,16.72,12.88,13.32,112.61,76.51,2026,17.099999999999994,-11.800000000000004,5.099999999999994,28.900000000000002,-3.1899999999999995,16.699999999999996,9.009999999999998,16.11999999999999,-17.380000000000003
UConn,1,FORT WORTH 1,Oklahoma State,8,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,81.5,63.4,72.7,18.06,9.26,18.28,7.37,116.21,82.7,2026,7.299999999999997,-13,0.8999999999999915,20.320000000000004,4.27,11.299999999999997,14.959999999999997,12.519999999999996,-23.57
UConn,1,FORT WORTH 1,Illinois,7,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,77.5,66.1,71.8,11.38,14.12,16.24,9.26,113.64,79.66,2026,11.299999999999997,-15.699999999999996,1.7999999999999972,27,-0.5899999999999999,13.34,13.069999999999999,15.08999999999999,-20.529999999999994
UConn,1,FORT WORTH 1,Alabama,6,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,70.1,61.5,69.6,8.58,16.78,11.47,13.89,110.02,75.52,2026,18.700000000000003,-11.100000000000001,4,29.800000000000004,-3.2500000000000018,18.11,8.439999999999998,18.709999999999994,-16.389999999999993
UConn,1,FORT WORTH 1,Iowa State,8,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,82.3,67.2,73.5,15.16,9.64,21.26,3.54,117.7,84.45,2026,6.5,-16.800000000000004,0.09999999999999432,23.220000000000002,3.889999999999999,8.319999999999997,18.79,11.029999999999987,-25.32
UConn,1,FORT WORTH 1,Texas Tech,7,88.8,50.4,73.6,38.38,13.53,29.58,22.33,128.73,59.13,2026,72,58.1,71.3,13.91,10.71,10.88,13.74,106.99,74.3,2026,16.799999999999997,-7.700000000000003,2.299999999999997,24.470000000000002,2.8199999999999985,18.699999999999996,8.589999999999998,21.739999999999995,-15.169999999999995
